date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0601",City of Agoura Hills,4627,22157,22,105,20883
"D0601",City of Alhambra,18257,21052,258,297,86724
"D0601",City of Arcadia,8900,15410,167,289,57754
"D0601",City of Artesia,4391,26145,88,524,16795
"D0601",City of Avalon,64,1654,0,0,3869
"D0601",City of Azusa,14168,28313,159,318,50040
"D0601",City of Baldwin Park,23539,30662,390,508,76769
"D0601",City of Bell,14256,39238,144,396,36332
"D0601",City of Bell Gardens,14400,33433,140,325,43071
"D0601",City of Bellflower,24130,31041,264,340,77735
"D0601",City of Beverly Hills,9116,26408,44,127,34520
"D0601",City of Bradbury,67,6268,0,0,1069
"D0601",City of Burbank,24327,22697,327,305,107180
"D0601",City of Calabasas,4409,18127,38,156,24323
"D0601",City of Carson,26940,28707,324,345,93846
"D0601",City of Cerritos,9119,18214,85,170,50067
"D0601",City of Claremont,7543,20675,84,230,36484
"D0601",City of Commerce,4638,35489,47,360,13069
"D0601",City of Compton,33769,33801,328,328,99904
"D0601",City of Covina,15210,31021,205,418,49032
"D0601",City of Cudahy,10253,42112,81,333,24347
"D0601",City of Culver City,8303,20828,134,336,39865
"D0601",City of Diamond Bar,9861,17145,109,190,57515
"D0601",City of Downey,37169,32529,382,334,114263
"D0601",City of Duarte,5429,24659,121,550,22016
"D0601",City of El Monte,33927,28931,531,453,117269
"D0601",City of El Segundo,3138,18694,14,83,16786
"D0601",City of Gardena,17105,27899,269,439,61310
"D0601",City of Glendale,46828,22678,881,427,206493
"D0601",City of Glendora,12348,23402,246,466,52764
"D0601",City of Hawaiian Gardens,4278,29150,30,204,14676
"D0601",City of Hawthorne,23516,26486,277,312,88787
"D0601",City of Hermosa Beach,3688,18749,12,61,19670
"D0601",City of Hidden Hills,299,15820,2,106,1890
"D0601",City of Huntington Park,22520,37859,217,365,59484
"D0601",City of Industry,416,95195,6,1373,437
"D0601",City of Inglewood,30501,26854,390,343,113582
"D0601",City of Irwindale,552,37834,8,548,1459
"D0601",City of La Canada Flintridge,3326,16073,20,97,20693
"D0601",City of La Habra Heights,170,3116,2,37,5455
"D0601",City of La Mirada,10976,22129,184,371,49599
"D0601",City of La Puente,13039,32039,152,373,40697
"D0601",City of La Verne,7383,22183,81,243,33282
"D0601",City of Lakewood,20115,25030,171,213,80362
"D0601",City of Lancaster,52212,32315,428,265,161570
"D0601",City of Lawndale,8462,25174,72,214,33614
"D0601",City of Lomita,4604,22210,58,280,20729
"D0601",City of Lynwood,25291,35103,293,407,72047
"D0601",City of Malibu,2333,18000,13,100,12961
"D0601",City of Manhattan Beach,5640,15667,27,75,35999
"D0601",City of Maywood,10786,38454,105,374,28049
"D0601",City of Monrovia,8726,22490,105,271,38800
"D0601",City of Montebello,19838,30816,283,440,64375
"D0601",City of Monterey Park,12455,20004,234,376,62262
"D0601",City of Norwalk,34131,31714,469,436,107622
"D0601",City of Palmdale,54395,34218,446,281,158968
"D0601",City of Palos Verdes Estates,1693,12520,12,89,13522
"D0601",City of Paramount,19327,34498,211,377,56023
"D0601",City of Pico Rivera,21637,33658,334,520,64284
"D0601",City of Pomona,53325,34198,588,377,155931
"D0601",City of Rancho Palos Verdes,5477,12813,83,194,42747
"D0601",City of Redondo Beach,11315,16471,71,103,68697
"D0601",City of Rolling Hills,211,10876,3,155,1940
"D0601",City of Rolling Hills Estates,1103,13595,10,123,8113
"D0601",City of Rosemead,11372,20546,188,340,55350
"D0601",City of San Dimas,8498,24620,128,371,34516
"D0601",City of San Fernando,10755,43698,81,329,24612
"D0601",City of San Gabriel,8094,19764,245,598,40954
"D0601",City of San Marino,1646,12397,14,105,13277
"D0601",City of Santa Clarita,57157,25930,386,175,220424
"D0601",City of Santa Fe Springs,6538,35602,55,299,18364
"D0601",City of Santa Monica,19539,21136,247,267,92446
"D0601",City of Sierra Madre,1661,15115,22,200,10989
"D0601",City of Signal Hill,3018,25583,13,110,11797
"D0601",City of South El Monte,6708,32119,89,426,20885
"D0601",City of South Gate,39398,40139,315,321,98155
"D0601",City of South Pasadena,4526,17372,61,234,26053
"D0601",City of Temple City,6779,18596,150,411,36455
"D0601",City of Torrance,24890,16675,304,204,149268
"D0601",City of Vernon,318,152153,0,0,209
"D0601",City of Walnut,5277,17284,46,151,30532
"D0601",City of West Covina,30672,28338,364,336,108235
"D0601",City of West Hollywood,8827,23888,62,168,36951
"D0601",City of Westlake Village,303,3624,2,24,8360
"D0601",City of Whittier,24666,28212,338,387,87432
"D0601",Los Angeles,1235982,30559,12651,313
"D0601",Los Angeles - Adams-Normandie,2688,32772,18,219,8202
"D0601",Los Angeles - Alsace,3697,29707,23,185,12445
"D0601",Los Angeles - Angeles National Forest,6,15000,0,0,40
"D0601",Los Angeles - Angelino Heights,674,26938,8,320,2502
"D0601",Los Angeles - Arleta,14028,40815,134,390,34370
"D0601",Los Angeles - Atwater Village,3829,26108,35,239,14666
"D0601",Los Angeles - Baldwin Hills,7940,25510,109,350,31125
"D0601",Los Angeles - Bel Air,1739,20631,5,59,8429
"D0601",Los Angeles - Beverly Crest,2632,21014,9,72,12525
"D0601",Los Angeles - Beverlywood,3312,25142,4,30,13173
"D0601",Los Angeles - Boyle Heights,34070,39213,372,428,86884
"D0601",Los Angeles - Brentwood,6420,20740,27,87,30955
"D0601",Los Angeles - Brookside,114,19621,2,344,581
"D0601",Los Angeles - Cadillac-Corning,1947,27342,14,197,7121
"D0601",Los Angeles - Canoga Park,20933,32062,208,319,65289
"D0601",Los Angeles - Carthay,3236,22530,89,620,14363
"D0601",Los Angeles - Central,15118,38772,159,408,38992
"D0601",Los Angeles - Century City,2684,20982,16,125,12792
"D0601",Los Angeles - Century Palms/Cove,13736,40680,132,391,33766
"D0601",Los Angeles - Chatsworth,10015,27023,120,324,37061
"D0601",Los Angeles - Cheviot Hills,1921,20946,10,109,9171
"D0601",Los Angeles - Chinatown,2104,26231,19,237,8021
"D0601",Los Angeles - Cloverdale/Cochran,4250,29204,30,206,14553
"D0601",Los Angeles - Country Club Park,3864,25500,89,587,15153
"D0601",Los Angeles - Crenshaw District,4188,30284,47,340,13829
"D0601",Los Angeles - Crestview,3071,27014,52,457,11368
"D0601",Los Angeles - Del Rey,6534,21827,43,144,29936
"D0601",Los Angeles - Downtown,12710,46206,68,247,27507
"D0601",Los Angeles - Eagle Rock,10134,25598,148,374,39589
"D0601",Los Angeles - East Hollywood,7697,26281,155,529,29287
"D0601",Los Angeles - Echo Park,3605,25288,26,182,14256
"D0601",Los Angeles - El Sereno,13840,33104,141,337,41808
"D0601",Los Angeles - Elysian Park,1461,25578,6,105,5712
"D0601",Los Angeles - Elysian Valley,2885,28365,33,324,10171
"D0601",Los Angeles - Encino,11363,25155,90,199,45172
"D0601",Los Angeles - Exposition,1021,30698,8,241,3326
"D0601",Los Angeles - Exposition Park,15037,33477,105,234,44917
"D0601",Los Angeles - Faircrest Heights,958,26611,6,167,3600
"D0601",Los Angeles - Figueroa Park Square,3111,35673,38,436,8721
"D0601",Los Angeles - Florence-Firestone,19852,41842,156,329,47445
"D0601",Los Angeles - Glassell Park,8544,27035,71,225,31604
"D0601",Los Angeles - Gramercy Place,3309,30741,42,390,10764
"D0601",Los Angeles - Granada Hills,16984,29187,252,433,58191
"D0601",Los Angeles - Green Meadows,8724,40567,64,298,21505
"D0601",Los Angeles - Hancock Park,3711,21779,11,65,17039
"D0601",Los Angeles - Harbor City,7404,25470,51,175,29070
"D0601",Los Angeles - Harbor Gateway,12672,29064,103,236,43600
"D0601",Los Angeles - Harbor Pines,476,19759,3,125,2409
"D0601",Los Angeles - Harvard Heights,5327,29537,80,444,18035
"D0601",Los Angeles - Harvard Park,15343,40445,129,340,37935
"D0601",Los Angeles - Highland Park,13712,28336,140,289,48391
"D0601",Los Angeles - Historic Filipinotown,4463,32177,91,656,13870
"D0601",Los Angeles - Hollywood,17207,25210,114,167,68254
"D0601",Los Angeles - Hollywood Hills,5879,19974,31,105,29434
"D0601",Los Angeles - Hyde Park,9585,33583,113,396,28541
"D0601",Los Angeles - Jefferson Park,2617,32417,21,260,8073
"D0601",Los Angeles - Koreatown,13543,26199,150,290,51693
"D0601",Los Angeles - Lafayette Square,1309,28712,11,241,4559
"D0601",Los Angeles - Lake Balboa,12896,30555,92,218,42206
"D0601",Los Angeles - Lakeview Terrace,4758,36229,47,358,13133
"D0601",Los Angeles - Leimert Park,4501,29544,32,210,15235
"D0601",Los Angeles - Lincoln Heights,10509,32239,213,653,32597
"D0601",Los Angeles - Little Armenia,2523,31439,114,1421,8025
"D0601",Los Angeles - Little Bangladesh,7166,25283,39,138,28343
"D0601",Los Angeles - Little Tokyo,1147,36610,14,447,3133
"D0601",Los Angeles - Longwood,1400,32528,14,325,4304
"D0601",Los Angeles - Los Feliz,4330,20039,35,162,21608
"D0601",Los Angeles - Manchester Square,2510,29405,22,258,8536
"D0601",Los Angeles - Mandeville Canyon,597,19110,1,32,3124
"D0601",Los Angeles - Mar Vista,8149,19187,46,108,42471
"D0601",Los Angeles - Marina Peninsula,756,17339,5,115,4360
"D0601",Los Angeles - Melrose,21350,27479,260,335,77696
"D0601",Los Angeles - Mid-city,3699,24611,53,353,15030
"D0601",Los Angeles - Miracle Mile,3812,21195,22,122,17985
"D0601",Los Angeles - Mission Hills,9775,40520,152,630,24124
"D0601",Los Angeles - Mt. Washington,6692,27716,75,311,24145
"D0601",Los Angeles - North Hills,20775,33739,192,312,61575
"D0601",Los Angeles - North Hollywood,48348,31930,483,319,151421
