date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0228",City of Agoura Hills,4030,19298,22,105,20883
"D0228",City of Alhambra,16399,18909,246,284,86724
"D0228",City of Arcadia,7828,13554,162,281,57754
"D0228",City of Artesia,4079,24287,88,524,16795
"D0228",City of Avalon,62,1602,0,0,3869
"D0228",City of Azusa,13558,27094,155,310,50040
"D0228",City of Baldwin Park,22609,29451,378,492,76769
"D0228",City of Bell,13638,37537,137,377,36332
"D0228",City of Bell Gardens,13992,32486,133,309,43071
"D0228",City of Bellflower,22979,29561,249,320,77735
"D0228",City of Beverly Hills,8111,23497,41,119,34520
"D0228",City of Bradbury,64,5987,0,0,1069
"D0228",City of Burbank,21804,20343,311,290,107180
"D0228",City of Calabasas,3826,15730,37,152,24323
"D0228",City of Carson,25046,26688,311,331,93846
"D0228",City of Cerritos,8201,16380,75,150,50067
"D0228",City of Claremont,6007,16465,76,208,36484
"D0228",City of Commerce,4461,34134,46,352,13069
"D0228",City of Compton,32682,32713,316,316,99904
"D0228",City of Covina,14505,29583,198,404,49032
"D0228",City of Cudahy,9841,40420,76,312,24347
"D0228",City of Culver City,7214,18096,131,329,39865
"D0228",City of Diamond Bar,8925,15518,104,181,57515
"D0228",City of Downey,35441,31017,368,322,114263
"D0228",City of Duarte,5081,23079,117,531,22016
"D0228",City of El Monte,32399,27628,512,437,117269
"D0228",City of El Segundo,2735,16293,14,83,16786
"D0228",City of Gardena,16008,26110,258,421,61310
"D0228",City of Glendale,43716,21171,839,406,206493
"D0228",City of Glendora,11580,21947,234,443,52764
"D0228",City of Hawaiian Gardens,4123,28093,29,198,14676
"D0228",City of Hawthorne,22261,25072,267,301,88787
"D0228",City of Hermosa Beach,3205,16294,12,61,19670
"D0228",City of Hidden Hills,252,13333,2,106,1890
"D0228",City of Huntington Park,21724,36521,214,360,59484
"D0228",City of Industry,370,84668,6,1373,437
"D0228",City of Inglewood,28908,25451,382,336,113582
"D0228",City of Irwindale,536,36737,8,548,1459
"D0228",City of La Canada Flintridge,2787,13468,19,92,20693
"D0228",City of La Habra Heights,161,2951,2,37,5455
"D0228",City of La Mirada,10273,20712,174,351,49599
"D0228",City of La Puente,12540,30813,148,364,40697
"D0228",City of La Verne,6943,20861,79,237,33282
"D0228",City of Lakewood,18667,23229,163,203,80362
"D0228",City of Lancaster,50108,31013,413,256,161570
"D0228",City of Lawndale,7973,23719,68,202,33614
"D0228",City of Lomita,4202,20271,53,256,20729
"D0228",City of Lynwood,24308,33739,285,396,72047
"D0228",City of Malibu,2027,15639,13,100,12961
"D0228",City of Manhattan Beach,4803,13342,25,69,35999
"D0228",City of Maywood,10308,36750,100,357,28049
"D0228",City of Monrovia,8111,20905,99,255,38800
"D0228",City of Montebello,19002,29518,274,426,64375
"D0228",City of Monterey Park,11153,17913,226,363,62262
"D0228",City of Norwalk,32806,30483,458,426,107622
"D0228",City of Palmdale,52465,33003,429,270,158968
"D0228",City of Palos Verdes Estates,1467,10849,12,89,13522
"D0228",City of Paramount,18525,33067,203,362,56023
"D0228",City of Pico Rivera,20724,32238,328,510,64284
"D0228",City of Pomona,50631,32470,563,361,155931
"D0228",City of Rancho Palos Verdes,4753,11119,79,185,42747
"D0228",City of Redondo Beach,9715,14142,67,98,68697
"D0228",City of Rolling Hills,184,9485,3,155,1940
"D0228",City of Rolling Hills Estates,960,11833,9,111,8113
"D0228",City of Rosemead,10451,18882,181,327,55350
"D0228",City of San Dimas,7904,22900,118,342,34516
"D0228",City of San Fernando,10350,42053,79,321,24612
"D0228",City of San Gabriel,7244,17688,231,564,40954
"D0228",City of San Marino,1373,10341,12,90,13277
"D0228",City of Santa Clarita,53306,24183,357,162,220424
"D0228",City of Santa Fe Springs,6254,34056,55,299,18364
"D0228",City of Santa Monica,16473,17819,220,238,92446
"D0228",City of Sierra Madre,1488,13541,18,164,10989
"D0228",City of Signal Hill,2800,23735,13,110,11797
"D0228",City of South El Monte,6490,31075,88,421,20885
"D0228",City of South Gate,37802,38513,302,308,98155
"D0228",City of South Pasadena,3898,14962,58,223,26053
"D0228",City of Temple City,6049,16593,145,398,36455
"D0228",City of Torrance,22257,14911,289,194,149268
"D0228",City of Vernon,305,145933,0,0,209
"D0228",City of Walnut,4722,15466,45,147,30532
"D0228",City of West Covina,28871,26674,346,320,108235
"D0228",City of West Hollywood,7739,20944,58,157,36951
"D0228",City of Westlake Village,269,3218,2,24,8360
"D0228",City of Whittier,23016,26324,328,375,87432
"D0228",Los Angeles,1151853,28479,12107,299
"D0228",Los Angeles - Adams-Normandie,2544,31017,18,219,8202
"D0228",Los Angeles - Alsace,3490,28043,23,185,12445
