date,name,Cases,Case Rate,Deaths,Death Rate,population
"DNANA",City of Agoura Hills,6157,29483,24,115,20883
"DNANA",City of Alhambra,24236,27946,282,325,86724
"DNANA",City of Arcadia,12729,22040,198,343,57754
"DNANA",City of Artesia,5692,33891,94,560,16795
"DNANA",City of Avalon,282,7289,3,78,3869
"DNANA",City of Azusa,16884,33741,168,336,50040
"DNANA",City of Baldwin Park,28549,37188,403,525,76769
"DNANA",City of Bell,16530,45497,150,413,36332
"DNANA",City of Bell Gardens,16648,38652,146,339,43071
"DNANA",City of Bellflower,29561,38028,287,369,77735
"DNANA",City of Beverly Hills,11108,32178,51,148,34520
"DNANA",City of Bradbury,69,6455,0,0,1069
"DNANA",City of Burbank,31354,29254,352,328,107180
"DNANA",City of Calabasas,5577,22929,43,177,24323
"DNANA",City of Carson,33493,35689,342,364,93846
"DNANA",City of Cerritos,12608,25182,92,184,50067
"DNANA",City of Claremont,9725,26656,102,280,36484
"DNANA",City of Commerce,5651,43240,52,398,13069
"DNANA",City of Compton,38973,39010,333,333,99904
"DNANA",City of Covina,19409,39584,242,494,49032
"DNANA",City of Cudahy,11919,48955,88,361,24347
"DNANA",City of Culver City,11180,28045,149,374,39865
"DNANA",City of Diamond Bar,12961,22535,120,209,57515
"DNANA",City of Downey,44978,39364,419,367,114263
"DNANA",City of Duarte,7102,32258,127,577,22016
"DNANA",City of El Monte,41195,35129,562,479,117269
"DNANA",City of El Segundo,3916,23329,17,101,16786
"DNANA",City of Gardena,21011,34270,279,455,61310
"DNANA",City of Glendale,57757,27970,958,464,206493
"DNANA",City of Glendora,14378,27250,219,415,52764
"DNANA",City of Hawaiian Gardens,4864,33143,33,225,14676
"DNANA",City of Hawthorne,28421,32010,285,321,88787
"DNANA",City of Hermosa Beach,4563,23198,15,76,19670
"DNANA",City of Hidden Hills,375,19841,2,106,1890
"DNANA",City of Huntington Park,25679,43170,222,373,59484
"DNANA",City of Industry,959,219451,7,1602,437
"DNANA",City of Inglewood,37176,32731,408,359,113582
"DNANA",City of Irwindale,859,58876,13,891,1459
"DNANA",City of La Canada Flintridge,4357,21055,26,126,20693
"DNANA",City of La Habra Heights,207,3795,2,37,5455
"DNANA",City of La Mirada,13572,27363,205,413,49599
"DNANA",City of La Puente,15499,38084,160,393,40697
"DNANA",City of La Verne,8934,26843,88,264,33282
"DNANA",City of Lakewood,25793,32096,180,224,80362
"DNANA",City of Lancaster,62066,38414,475,294,161570
"DNANA",City of Lawndale,10222,30410,75,223,33614
"DNANA",City of Lomita,5770,27835,64,309,20729
"DNANA",City of Lynwood,30213,41935,318,441,72047
"DNANA",City of Malibu,2751,21225,14,108,12961
"DNANA",City of Manhattan Beach,7133,19814,32,89,35999
"DNANA",City of Maywood,12508,44593,112,399,28049
"DNANA",City of Monrovia,11389,29353,114,294,38800
"DNANA",City of Montebello,24472,38015,305,474,64375
"DNANA",City of Monterey Park,16675,26782,261,419,62262
"DNANA",City of Norwalk,41259,38337,510,474,107622
"DNANA",City of Palmdale,64928,40843,473,298,158968
"DNANA",City of Palos Verdes Estates,2134,15782,14,104,13522
"DNANA",City of Paramount,21932,39148,215,384,56023
"DNANA",City of Pico Rivera,26890,41830,351,546,64284
"DNANA",City of Pomona,63125,40483,612,392,155931
"DNANA",City of Rancho Palos Verdes,7229,16911,88,206,42747
"DNANA",City of Redondo Beach,14856,21625,76,111,68697
"DNANA",City of Rolling Hills,272,14021,3,155,1940
"DNANA",City of Rolling Hills Estates,1420,17503,11,136,8113
"DNANA",City of Rosemead,14645,26459,201,363,55350
"DNANA",City of San Dimas,10626,30786,136,394,34516
"DNANA",City of San Fernando,12442,50553,83,337,24612
"DNANA",City of San Gabriel,10839,26466,269,657,40954
"DNANA",City of San Marino,2296,17293,15,113,13277
"DNANA",City of Santa Clarita,70658,32055,426,193,220424
"DNANA",City of Santa Fe Springs,7589,41325,58,316,18364
"DNANA",City of Santa Monica,25270,27335,282,305,92446
"DNANA",City of Sierra Madre,2272,20675,25,228,10989
"DNANA",City of Signal Hill,3908,33127,19,161,11797
"DNANA",City of South El Monte,8155,39047,92,441,20885
"DNANA",City of South Gate,45895,46758,334,340,98155
"DNANA",City of South Pasadena,6008,23061,63,242,26053
"DNANA",City of Temple City,10229,28059,172,472,36455
"DNANA",City of Torrance,32430,21726,336,225,149268
"DNANA",City of Vernon,354,169378,0,0,209
"DNANA",City of Walnut,7171,23487,52,170,30532
"DNANA",City of West Covina,37896,35013,390,360,108235
"DNANA",City of West Hollywood,10859,29388,62,168,36951
"DNANA",City of Westlake Village,430,5144,3,36,8360
"DNANA",City of Whittier,29945,34249,357,408,87432
"DNANA",Los Angeles,1477022,36518,13581,336
