date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0325",City of Agoura Hills,4134,19796,22,105,20883
"D0325",City of Alhambra,16778,19346,251,289,86724
"D0325",City of Arcadia,7957,13777,165,286,57754
"D0325",City of Artesia,4145,24680,88,524,16795
"D0325",City of Avalon,62,1602,0,0,3869
"D0325",City of Azusa,13666,27310,157,314,50040
"D0325",City of Baldwin Park,22802,29702,388,505,76769
"D0325",City of Bell,13811,38013,141,388,36332
"D0325",City of Bell Gardens,14113,32767,137,318,43071
"D0325",City of Bellflower,23217,29867,257,331,77735
"D0325",City of Beverly Hills,8247,23890,44,127,34520
"D0325",City of Bradbury,65,6080,0,0,1069
"D0325",City of Burbank,22099,20619,314,293,107180
"D0325",City of Calabasas,3918,16108,37,152,24323
"D0325",City of Carson,25343,27005,317,338,93846
"D0325",City of Cerritos,8325,16628,84,168,50067
"D0325",City of Claremont,6515,17857,80,219,36484
"D0325",City of Commerce,4503,34456,46,352,13069
"D0325",City of Compton,33004,33036,322,322,99904
"D0325",City of Covina,14606,29789,205,418,49032
"D0325",City of Cudahy,9979,40987,79,324,24347
"D0325",City of Culver City,7312,18342,133,334,39865
"D0325",City of Diamond Bar,9087,15799,105,183,57515
"D0325",City of Downey,35736,31275,376,329,114263
"D0325",City of Duarte,5140,23347,119,541,22016
"D0325",City of El Monte,32860,28021,524,447,117269
"D0325",City of El Segundo,2754,16407,14,83,16786
"D0325",City of Gardena,16146,26335,261,426,61310
"D0325",City of Glendale,44106,21360,858,416,206493
"D0325",City of Glendora,11705,22184,239,453,52764
"D0325",City of Hawaiian Gardens,4160,28346,30,204,14676
"D0325",City of Hawthorne,22441,25275,275,310,88787
"D0325",City of Hermosa Beach,3272,16634,12,61,19670
"D0325",City of Hidden Hills,258,13651,2,106,1890
"D0325",City of Huntington Park,21947,36896,215,361,59484
"D0325",City of Industry,396,90618,6,1373,437
"D0325",City of Inglewood,29183,25693,388,342,113582
"D0325",City of Irwindale,535,36669,8,548,1459
"D0325",City of La Canada Flintridge,2827,13662,20,97,20693
"D0325",City of La Habra Heights,162,2970,2,37,5455
"D0325",City of La Mirada,10375,20918,181,365,49599
"D0325",City of La Puente,12638,31054,150,369,40697
"D0325",City of La Verne,7025,21108,80,240,33282
"D0325",City of Lakewood,18846,23451,166,207,80362
"D0325",City of Lancaster,50623,31332,421,261,161570
"D0325",City of Lawndale,8043,23928,71,211,33614
"D0325",City of Lomita,4253,20517,57,275,20729
"D0325",City of Lynwood,24705,34290,288,400,72047
"D0325",City of Malibu,2069,15963,13,100,12961
"D0325",City of Manhattan Beach,4894,13595,26,72,35999
"D0325",City of Maywood,10531,37545,104,371,28049
"D0325",City of Monrovia,8203,21142,101,260,38800
"D0325",City of Montebello,19135,29724,281,437,64375
"D0325",City of Monterey Park,11418,18339,231,371,62262
"D0325",City of Norwalk,33078,30735,464,431,107622
"D0325",City of Palmdale,52763,33191,443,279,158968
"D0325",City of Palos Verdes Estates,1494,11049,12,89,13522
"D0325",City of Paramount,18870,33683,208,371,56023
"D0325",City of Pico Rivera,20887,32492,332,516,64284
"D0325",City of Pomona,51771,33201,577,370,155931
"D0325",City of Rancho Palos Verdes,4834,11308,82,192,42747
"D0325",City of Redondo Beach,9880,14382,68,99,68697
"D0325",City of Rolling Hills,187,9639,3,155,1940
"D0325",City of Rolling Hills Estates,980,12079,10,123,8113
"D0325",City of Rosemead,10723,19373,184,332,55350
"D0325",City of San Dimas,8013,23215,124,359,34516
"D0325",City of San Fernando,10395,42235,80,325,24612
"D0325",City of San Gabriel,7530,18386,240,586,40954
"D0325",City of San Marino,1403,10567,12,90,13277
"D0325",City of Santa Clarita,53646,24338,372,169,220424
"D0325",City of Santa Fe Springs,6331,34475,55,299,18364
"D0325",City of Santa Monica,16832,18207,233,252,92446
"D0325",City of Sierra Madre,1510,13741,21,191,10989
"D0325",City of Signal Hill,2824,23938,13,110,11797
"D0325",City of South El Monte,6551,31367,88,421,20885
"D0325",City of South Gate,38249,38968,311,317,98155
"D0325",City of South Pasadena,3960,15200,60,230,26053
"D0325",City of Temple City,6150,16870,150,411,36455
"D0325",City of Torrance,22584,15130,298,200,149268
"D0325",City of Vernon,308,147368,0,0,209
"D0325",City of Walnut,4837,15842,45,147,30532
"D0325",City of West Covina,29101,26887,362,334,108235
"D0325",City of West Hollywood,7881,21328,60,162,36951
"D0325",City of Westlake Village,271,3242,2,24,8360
"D0325",City of Whittier,23593,26984,332,380,87432
"D0325",Los Angeles,1164973,28803,12437,307
"D0325",Los Angeles - Adams-Normandie,2600,31700,18,219,8202
"D0325",Los Angeles - Alsace,3524,28317,23,185,12445
"D0325",Los Angeles - Angeles National Forest,6,15000,0,0,40
"D0325",Los Angeles - Angelino Heights,622,24860,8,320,2502
"D0325",Los Angeles - Arleta,13580,39511,133,387,34370
"D0325",Los Angeles - Atwater Village,3503,23885,34,232,14666
"D0325",Los Angeles - Baldwin Hills,7411,23810,104,334,31125
"D0325",Los Angeles - Bel Air,1459,17309,4,47,8429
"D0325",Los Angeles - Beverly Crest,2322,18539,9,72,12525
"D0325",Los Angeles - Beverlywood,2985,22660,4,30,13173
"D0325",Los Angeles - Boyle Heights,33169,38176,364,419,86884
"D0325",Los Angeles - Brentwood,5443,17584,25,81,30955
"D0325",Los Angeles - Brookside,94,16179,2,344,581
"D0325",Los Angeles - Cadillac-Corning,1819,25544,13,183,7121
"D0325",Los Angeles - Canoga Park,19998,30630,208,319,65289
"D0325",Los Angeles - Carthay,2868,19968,87,606,14363
"D0325",Los Angeles - Central,14822,38013,154,395,38992
"D0325",Los Angeles - Century City,2299,17972,16,125,12792
"D0325",Los Angeles - Century Palms/Cove,13449,39830,132,391,33766
"D0325",Los Angeles - Chatsworth,9235,24918,119,321,37061
"D0325",Los Angeles - Cheviot Hills,1603,17479,10,109,9171
"D0325",Los Angeles - Chinatown,1961,24448,18,224,8021
"D0325",Los Angeles - Cloverdale/Cochran,4017,27603,30,206,14553
"D0325",Los Angeles - Country Club Park,3627,23936,90,594,15153
"D0325",Los Angeles - Crenshaw District,3947,28541,47,340,13829
"D0325",Los Angeles - Crestview,2832,24912,52,457,11368
"D0325",Los Angeles - Del Rey,5910,19742,43,144,29936
"D0325",Los Angeles - Downtown,11656,42375,66,240,27507
"D0325",Los Angeles - Eagle Rock,8983,22691,143,361,39589
"D0325",Los Angeles - East Hollywood,7265,24806,154,526,29287
"D0325",Los Angeles - Echo Park,3297,23127,26,182,14256
"D0325",Los Angeles - El Sereno,13199,31571,137,328,41808
"D0325",Los Angeles - Elysian Park,1354,23704,5,88,5712
"D0325",Los Angeles - Elysian Valley,2702,26566,31,305,10171
"D0325",Los Angeles - Encino,10204,22589,88,195,45172
