date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0414",City of Agoura Hills,4205,20136,22,105,20883
"D0414",City of Alhambra,16979,19578,254,293,86724
"D0414",City of Arcadia,8088,14004,165,286,57754
"D0414",City of Artesia,4181,24894,88,524,16795
"D0414",City of Avalon,63,1628,0,0,3869
"D0414",City of Azusa,13713,27404,158,316,50040
"D0414",City of Baldwin Park,22876,29798,388,505,76769
"D0414",City of Bell,13862,38154,142,391,36332
"D0414",City of Bell Gardens,14159,32874,139,323,43071
"D0414",City of Bellflower,23305,29980,261,336,77735
"D0414",City of Beverly Hills,8383,24284,44,127,34520
"D0414",City of Bradbury,66,6174,0,0,1069
"D0414",City of Burbank,22371,20872,322,300,107180
"D0414",City of Calabasas,4007,16474,37,152,24323
"D0414",City of Carson,25561,27237,321,342,93846
"D0414",City of Cerritos,8408,16793,85,170,50067
"D0414",City of Claremont,7011,19217,81,222,36484
"D0414",City of Commerce,4513,34532,47,360,13069
"D0414",City of Compton,33102,33134,324,324,99904
"D0414",City of Covina,14665,29909,205,418,49032
"D0414",City of Cudahy,10025,41176,79,324,24347
"D0414",City of Culver City,7424,18623,134,336,39865
"D0414",City of Diamond Bar,9163,15931,107,186,57515
"D0414",City of Downey,35904,31422,377,330,114263
"D0414",City of Duarte,5173,23497,119,541,22016
"D0414",City of El Monte,33046,28180,526,449,117269
"D0414",City of El Segundo,2804,16704,14,83,16786
"D0414",City of Gardena,16231,26474,266,434,61310
"D0414",City of Glendale,44497,21549,868,420,206493
"D0414",City of Glendora,11785,22335,245,464,52764
"D0414",City of Hawaiian Gardens,4170,28414,30,204,14676
"D0414",City of Hawthorne,22591,25444,277,312,88787
"D0414",City of Hermosa Beach,3320,16878,12,61,19670
"D0414",City of Hidden Hills,260,13757,2,106,1890
"D0414",City of Huntington Park,22039,37050,216,363,59484
"D0414",City of Industry,401,91762,6,1373,437
"D0414",City of Inglewood,29382,25869,387,341,113582
"D0414",City of Irwindale,538,36875,8,548,1459
"D0414",City of La Canada Flintridge,2896,13995,20,97,20693
"D0414",City of La Habra Heights,162,2970,2,37,5455
"D0414",City of La Mirada,10445,21059,183,369,49599
"D0414",City of La Puente,12678,31152,152,373,40697
"D0414",City of La Verne,7064,21225,81,243,33282
"D0414",City of Lakewood,18972,23608,169,210,80362
"D0414",City of Lancaster,50877,31489,426,264,161570
"D0414",City of Lawndale,8098,24091,71,211,33614
"D0414",City of Lomita,4307,20778,58,280,20729
"D0414",City of Lynwood,24805,34429,291,404,72047
"D0414",City of Malibu,2120,16357,13,100,12961
"D0414",City of Manhattan Beach,5006,13906,26,72,35999
"D0414",City of Maywood,10560,37648,104,371,28049
"D0414",City of Monrovia,8280,21340,102,263,38800
"D0414",City of Montebello,19208,29838,281,437,64375
"D0414",City of Monterey Park,11545,18543,233,374,62262
"D0414",City of Norwalk,33213,30861,465,432,107622
"D0414",City of Palmdale,52944,33305,444,279,158968
"D0414",City of Palos Verdes Estates,1520,11241,12,89,13522
"D0414",City of Paramount,18915,33763,210,375,56023
"D0414",City of Pico Rivera,20963,32610,334,520,64284
"D0414",City of Pomona,51982,33337,582,373,155931
"D0414",City of Rancho Palos Verdes,4919,11507,82,192,42747
"D0414",City of Redondo Beach,10053,14634,69,100,68697
"D0414",City of Rolling Hills,190,9794,3,155,1940
"D0414",City of Rolling Hills Estates,999,12314,10,123,8113
"D0414",City of Rosemead,10807,19525,186,336,55350
"D0414",City of San Dimas,8067,23372,127,368,34516
"D0414",City of San Fernando,10438,42410,80,325,24612
"D0414",City of San Gabriel,7609,18579,242,591,40954
"D0414",City of San Marino,1440,10846,13,98,13277
"D0414",City of Santa Clarita,54023,24509,380,172,220424
"D0414",City of Santa Fe Springs,6361,34638,55,299,18364
"D0414",City of Santa Monica,17197,18602,240,260,92446
"D0414",City of Sierra Madre,1532,13941,22,200,10989
"D0414",City of Signal Hill,2846,24125,13,110,11797
"D0414",City of South El Monte,6573,31472,88,421,20885
"D0414",City of South Gate,38363,39084,313,319,98155
"D0414",City of South Pasadena,4028,15461,60,230,26053
"D0414",City of Temple City,6222,17068,150,411,36455
"D0414",City of Torrance,22933,15364,301,202,149268
"D0414",City of Vernon,308,147368,0,0,209
"D0414",City of Walnut,4886,16003,45,147,30532
"D0414",City of West Covina,29264,27037,363,335,108235
"D0414",City of West Hollywood,8051,21788,61,165,36951
"D0414",City of Westlake Village,280,3349,2,24,8360
"D0414",City of Whittier,23708,27116,336,384,87432
"D0414",Los Angeles,1174333,29035,12534,310
"D0414",Los Angeles - Adams-Normandie,2610,31822,18,219,8202
"D0414",Los Angeles - Alsace,3539,28437,23,185,12445
"D0414",Los Angeles - Angeles National Forest,6,15000,0,0,40
"D0414",Los Angeles - Angelino Heights,633,25300,8,320,2502
"D0414",Los Angeles - Arleta,13621,39630,133,387,34370
"D0414",Los Angeles - Atwater Village,3543,24158,35,239,14666
"D0414",Los Angeles - Baldwin Hills,7498,24090,106,341,31125
"D0414",Los Angeles - Bel Air,1494,17725,5,59,8429
"D0414",Los Angeles - Beverly Crest,2373,18946,9,72,12525
"D0414",Los Angeles - Beverlywood,3048,23138,4,30,13173
"D0414",Los Angeles - Boyle Heights,33285,38310,368,424,86884
"D0414",Los Angeles - Brentwood,5587,18049,26,84,30955
"D0414",Los Angeles - Brookside,99,17040,2,344,581
"D0414",Los Angeles - Cadillac-Corning,1828,25671,13,183,7121
"D0414",Los Angeles - Canoga Park,20086,30765,208,319,65289
"D0414",Los Angeles - Carthay,2921,20337,87,606,14363
"D0414",Los Angeles - Central,14857,38103,156,400,38992
"D0414",Los Angeles - Century City,2365,18488,16,125,12792
"D0414",Los Angeles - Century Palms/Cove,13473,39901,132,391,33766
"D0414",Los Angeles - Chatsworth,9294,25078,120,324,37061
"D0414",Los Angeles - Cheviot Hills,1640,17882,10,109,9171
"D0414",Los Angeles - Chinatown,1990,24810,19,237,8021
"D0414",Los Angeles - Cloverdale/Cochran,4051,27836,30,206,14553
"D0414",Los Angeles - Country Club Park,3653,24107,89,587,15153
"D0414",Los Angeles - Crenshaw District,3983,28802,47,340,13829
"D0414",Los Angeles - Crestview,2879,25325,52,457,11368
"D0414",Los Angeles - Del Rey,5986,19996,43,144,29936
"D0414",Los Angeles - Downtown,11833,43018,67,244,27507
"D0414",Los Angeles - Eagle Rock,9238,23335,145,366,39589
"D0414",Los Angeles - East Hollywood,7327,25018,154,526,29287
"D0414",Los Angeles - Echo Park,3352,23513,26,182,14256
"D0414",Los Angeles - El Sereno,13274,31750,139,332,41808
"D0414",Los Angeles - Elysian Park,1372,24020,5,88,5712
"D0414",Los Angeles - Elysian Valley,2718,26723,33,324,10171
"D0414",Los Angeles - Encino,10335,22879,89,197,45172
"D0414",Los Angeles - Exposition,974,29284,8,241,3326
"D0414",Los Angeles - Exposition Park,14482,32242,106,236,44917
"D0414",Los Angeles - Faircrest Heights,896,24889,6,167,3600
"D0414",Los Angeles - Figueroa Park Square,3024,34675,38,436,8721
"D0414",Los Angeles - Florence-Firestone,19484,41066,154,325,47445
"D0414",Los Angeles - Glassell Park,8029,25405,71,225,31604
"D0414",Los Angeles - Gramercy Place,3192,29654,42,390,10764
"D0414",Los Angeles - Granada Hills,15998,27492,246,423,58191
"D0414",Los Angeles - Green Meadows,8526,39647,63,293,21505
"D0414",Los Angeles - Hancock Park,3387,19878,11,65,17039
