date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0519",City of Agoura Hills,4429,21209,22,105,20883
"D0519",City of Alhambra,17764,20483,257,296,86724
"D0519",City of Arcadia,8591,14875,167,289,57754
"D0519",City of Artesia,4281,25490,88,524,16795
"D0519",City of Avalon,64,1654,0,0,3869
"D0519",City of Azusa,13950,27878,159,318,50040
"D0519",City of Baldwin Park,23252,30288,390,508,76769
"D0519",City of Bell,14071,38729,143,394,36332
"D0519",City of Bell Gardens,14278,33150,140,325,43071
"D0519",City of Bellflower,23742,30542,264,340,77735
"D0519",City of Beverly Hills,8831,25582,44,127,34520
"D0519",City of Bradbury,67,6268,0,0,1069
"D0519",City of Burbank,23572,21993,325,303,107180
"D0519",City of Calabasas,4255,17494,38,156,24323
"D0519",City of Carson,26300,28025,323,344,93846
"D0519",City of Cerritos,8852,17680,85,170,50067
"D0519",City of Claremont,7362,20179,82,225,36484
"D0519",City of Commerce,4580,35045,47,360,13069
"D0519",City of Compton,33446,33478,327,327,99904
"D0519",City of Covina,14976,30543,205,418,49032
"D0519",City of Cudahy,10137,41636,81,333,24347
"D0519",City of Culver City,7974,20003,134,336,39865
"D0519",City of Diamond Bar,9571,16641,109,190,57515
"D0519",City of Downey,36593,32025,380,333,114263
"D0519",City of Duarte,5332,24219,120,545,22016
"D0519",City of El Monte,33514,28579,529,451,117269
"D0519",City of El Segundo,2989,17807,14,83,16786
"D0519",City of Gardena,16726,27281,268,437,61310
"D0519",City of Glendale,45853,22206,880,426,206493
"D0519",City of Glendora,12092,22917,246,466,52764
"D0519",City of Hawaiian Gardens,4217,28734,30,204,14676
"D0519",City of Hawthorne,23103,26021,277,312,88787
"D0519",City of Hermosa Beach,3527,17931,12,61,19670
"D0519",City of Hidden Hills,279,14762,2,106,1890
"D0519",City of Huntington Park,22310,37506,217,365,59484
"D0519",City of Industry,408,93364,6,1373,437
"D0519",City of Inglewood,30018,26428,390,343,113582
"D0519",City of Irwindale,541,37080,8,548,1459
"D0519",City of La Canada Flintridge,3145,15198,20,97,20693
"D0519",City of La Habra Heights,168,3080,2,37,5455
"D0519",City of La Mirada,10764,21702,183,369,49599
"D0519",City of La Puente,12887,31666,152,373,40697
"D0519",City of La Verne,7248,21778,81,243,33282
"D0519",City of Lakewood,19614,24407,171,213,80362
"D0519",City of Lancaster,51567,31916,428,265,161570
"D0519",City of Lawndale,8304,24704,72,214,33614
"D0519",City of Lomita,4463,21530,58,280,20729
"D0519",City of Lynwood,25044,34761,293,407,72047
"D0519",City of Malibu,2259,17429,13,100,12961
"D0519",City of Manhattan Beach,5388,14967,27,75,35999
"D0519",City of Maywood,10694,38126,105,374,28049
"D0519",City of Monrovia,8551,22039,104,268,38800
"D0519",City of Montebello,19563,30389,283,440,64375
"D0519",City of Monterey Park,12073,19391,234,376,62262
"D0519",City of Norwalk,33722,31334,469,436,107622
"D0519",City of Palmdale,53684,33770,445,280,158968
"D0519",City of Palos Verdes Estates,1624,12010,12,89,13522
"D0519",City of Paramount,19140,34165,211,377,56023
"D0519",City of Pico Rivera,21313,33154,334,520,64284
"D0519",City of Pomona,52761,33836,588,377,155931
"D0519",City of Rancho Palos Verdes,5234,12244,82,192,42747
"D0519",City of Redondo Beach,10783,15696,70,102,68697
"D0519",City of Rolling Hills,201,10361,3,155,1940
"D0519",City of Rolling Hills Estates,1052,12967,10,123,8113
"D0519",City of Rosemead,11122,20094,187,338,55350
"D0519",City of San Dimas,8316,24093,128,371,34516
"D0519",City of San Fernando,10622,43158,81,329,24612
"D0519",City of San Gabriel,7885,19253,245,598,40954
"D0519",City of San Marino,1555,11712,14,105,13277
"D0519",City of Santa Clarita,55899,25360,385,175,220424
"D0519",City of Santa Fe Springs,6461,35183,55,299,18364
"D0519",City of Santa Monica,18624,20146,245,265,92446
"D0519",City of Sierra Madre,1623,14769,22,200,10989
"D0519",City of Signal Hill,2943,24947,13,110,11797
"D0519",City of South El Monte,6649,31836,88,421,20885
"D0519",City of South Gate,38828,39558,315,321,98155
"D0519",City of South Pasadena,4360,16735,61,234,26053
"D0519",City of Temple City,6555,17981,150,411,36455
"D0519",City of Torrance,24037,16103,303,203,149268
"D0519",City of Vernon,313,149761,0,0,209
"D0519",City of Walnut,5099,16701,46,151,30532
"D0519",City of West Covina,30052,27766,363,335,108235
"D0519",City of West Hollywood,8541,23114,62,168,36951
"D0519",City of Westlake Village,297,3553,2,24,8360
"D0519",City of Whittier,24230,27713,337,385,87432
"D0519",Los Angeles,1211660,29957,12628,312
"D0519",Los Angeles - Adams-Normandie,2657,32395,18,219,8202
"D0519",Los Angeles - Alsace,3623,29112,23,185,12445
"D0519",Los Angeles - Angeles National Forest,6,15000,0,0,40
