date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0725",City of Agoura Hills,5708,27333,22,105,20883
"D0725",City of Alhambra,20985,24197,262,302,86724
"D0725",City of Arcadia,10634,18413,168,291,57754
"D0725",City of Artesia,4990,29711,88,524,16795
"D0725",City of Avalon,65,1680,0,0,3869
"D0725",City of Azusa,15498,30971,159,318,50040
"D0725",City of Baldwin Park,25848,33670,392,511,76769
"D0725",City of Bell,15228,41913,145,399,36332
"D0725",City of Bell Gardens,15376,35699,140,325,43071
"D0725",City of Bellflower,26574,34185,271,349,77735
"D0725",City of Beverly Hills,10187,29510,47,136,34520
"D0725",City of Bradbury,67,6268,0,0,1069
"D0725",City of Burbank,27592,25744,334,312,107180
"D0725",City of Calabasas,4964,20409,39,160,24323
"D0725",City of Carson,30179,32158,327,348,93846
"D0725",City of Cerritos,10855,21681,88,176,50067
"D0725",City of Claremont,8268,22662,88,241,36484
"D0725",City of Commerce,5029,38480,48,367,13069
"D0725",City of Compton,36175,36210,336,336,99904
"D0725",City of Covina,16682,34023,207,422,49032
"D0725",City of Cudahy,11026,45287,81,333,24347
"D0725",City of Culver City,9620,24131,138,346,39865
"D0725",City of Diamond Bar,11192,19459,112,195,57515
"D0725",City of Downey,40610,35541,387,339,114263
"D0725",City of Duarte,6142,27898,125,568,22016
"D0725",City of El Monte,37047,31591,536,457,117269
"D0725",City of El Segundo,3552,21160,16,95,16786
"D0725",City of Gardena,18924,30866,270,440,61310
"D0725",City of Glendale,51610,24994,904,438,206493
"D0725",City of Glendora,13658,25885,250,474,52764
"D0725",City of Hawaiian Gardens,4600,31344,31,211,14676
"D0725",City of Hawthorne,25702,28948,278,313,88787
"D0725",City of Hermosa Beach,4088,20783,12,61,19670
"D0725",City of Hidden Hills,345,18254,2,106,1890
"D0725",City of Huntington Park,24040,40414,219,368,59484
"D0725",City of Industry,457,104577,6,1373,437
"D0725",City of Inglewood,33127,29166,393,346,113582
"D0725",City of Irwindale,601,41193,10,685,1459
"D0725",City of La Canada Flintridge,3817,18446,22,106,20693
"D0725",City of La Habra Heights,172,3153,2,37,5455
"D0725",City of La Mirada,12111,24418,188,379,49599
"D0725",City of La Puente,14219,34939,154,378,40697
"D0725",City of La Verne,8149,24485,83,249,33282
"D0725",City of Lakewood,22736,28292,172,214,80362
"D0725",City of Lancaster,56146,34750,443,274,161570
"D0725",City of Lawndale,9310,27697,73,217,33614
"D0725",City of Lomita,5129,24743,59,285,20729
"D0725",City of Lynwood,27309,37904,295,409,72047
"D0725",City of Malibu,2559,19744,13,100,12961
"D0725",City of Manhattan Beach,6347,17631,30,83,35999
"D0725",City of Maywood,11488,40957,106,378,28049
"D0725",City of Monrovia,9891,25492,106,273,38800
"D0725",City of Montebello,21855,33950,285,443,64375
"D0725",City of Monterey Park,14444,23199,240,385,62262
"D0725",City of Norwalk,37068,34443,476,442,107622
"D0725",City of Palmdale,58726,36942,450,283,158968
"D0725",City of Palos Verdes Estates,1877,13881,13,96,13522
"D0725",City of Paramount,20692,36935,212,378,56023
"D0725",City of Pico Rivera,23849,37099,338,526,64284
"D0725",City of Pomona,57264,36724,595,382,155931
"D0725",City of Rancho Palos Verdes,6275,14679,86,201,42747
"D0725",City of Redondo Beach,13051,18998,71,103,68697
"D0725",City of Rolling Hills,241,12423,3,155,1940
"D0725",City of Rolling Hills Estates,1248,15383,11,136,8113
"D0725",City of Rosemead,13099,23666,192,347,55350
"D0725",City of San Dimas,9518,27576,129,374,34516
"D0725",City of San Fernando,11476,46628,81,329,24612
"D0725",City of San Gabriel,9298,22704,250,610,40954
"D0725",City of San Marino,1978,14898,14,105,13277
"D0725",City of Santa Clarita,63334,28733,394,179,220424
"D0725",City of Santa Fe Springs,7092,38619,55,299,18364
