date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0702",City of Agoura Hills,1068,5114,19,91,20883
"D0702",City of Alhambra,6929,7990,209,241,86724
"D0702",City of Arcadia,2765,4788,137,237,57754
"D0702",City of Artesia,2085,12414,73,435,16795
"D0702",City of Avalon,16,414,0,0,3869
"D0702",City of Azusa,6349,12688,119,238,50040
"D0702",City of Baldwin Park,13213,17211,318,414,76769
"D0702",City of Bell,6818,18766,120,330,36332
"D0702",City of Bell Gardens,8399,19500,112,260,43071
"D0702",City of Bellflower,10867,13980,197,253,77735
"D0702",City of Beverly Hills,2732,7914,33,96,34520
"D0702",City of Bradbury,39,3648,0,0,1069
"D0702",City of Burbank,9023,8419,244,228,107180
"D0702",City of Calabasas,1303,5357,32,132,24323
"D0702",City of Carson,9952,10605,255,272,93846
"D0702",City of Cerritos,3100,6192,59,118,50067
"D0702",City of Claremont,2299,6301,56,153,36484
"D0702",City of Commerce,2407,18418,40,306,13069
"D0702",City of Compton,17240,17257,240,240,99904
"D0702",City of Covina,6450,13155,164,334,49032
"D0702",City of Cudahy,4826,19822,61,251,24347
"D0702",City of Culver City,2245,5632,110,276,39865
"D0702",City of Diamond Bar,3289,5719,85,148,57515
"D0702",City of Downey,17665,15460,300,263,114263
"D0702",City of Duarte,2329,10579,97,441,22016
"D0702",City of El Monte,17284,14739,435,371,117269
"D0702",City of El Segundo,745,4438,6,36,16786
"D0702",City of Gardena,6448,10517,193,315,61310
"D0702",City of Glendale,20317,9839,629,305,206493
"D0702",City of Glendora,4863,9217,178,337,52764
"D0702",City of Hawaiian Gardens,2255,15365,24,164,14676
"D0702",City of Hawthorne,10668,12015,211,238,88787
"D0702",City of Hermosa Beach,1031,5241,10,51,19670
"D0702",City of Hidden Hills,92,4868,2,106,1890
"D0702",City of Huntington Park,11285,18971,172,289,59484
"D0702",City of Industry,173,39588,6,1373,437
"D0702",City of Inglewood,13865,12207,311,274,113582
"D0702",City of Irwindale,254,17409,7,480,1459
"D0702",City of La Canada Flintridge,773,3736,17,82,20693
"D0702",City of La Habra Heights,117,2145,2,37,5455
"D0702",City of La Mirada,4329,8728,115,232,49599
"D0702",City of La Puente,6727,16529,120,295,40697
"D0702",City of La Verne,2925,8789,50,150,33282
"D0702",City of Lakewood,7402,9211,100,124,80362
"D0702",City of Lancaster,22624,14003,284,176,161570
"D0702",City of Lawndale,3642,10835,54,161,33614
"D0702",City of Lomita,1520,7333,35,169,20729
"D0702",City of Lynwood,13393,18589,238,330,72047
"D0702",City of Malibu,454,3503,8,62,12961
"D0702",City of Manhattan Beach,1391,3864,17,47,35999
"D0702",City of Maywood,5249,18714,92,328,28049
"D0702",City of Monrovia,3219,8296,78,201,38800
"D0702",City of Montebello,10245,15915,219,340,64375
"D0702",City of Monterey Park,4856,7799,193,310,62262
"D0702",City of Norwalk,16241,15091,375,348,107622
"D0702",City of Palmdale,24968,15706,311,196,158968
"D0702",City of Palos Verdes Estates,491,3631,9,67,13522
"D0702",City of Paramount,10019,17884,154,275,56023
"D0702",City of Pico Rivera,11217,17449,269,418,64284
"D0702",City of Pomona,24550,15744,460,295,155931
"D0702",City of Rancho Palos Verdes,1563,3656,58,136,42747
"D0702",City of Redondo Beach,2913,4240,50,73,68697
"D0702",City of Rolling Hills,59,3041,2,103,1940
"D0702",City of Rolling Hills Estates,292,3599,8,99,8113
"D0702",City of Rosemead,4979,8995,151,273,55350
"D0702",City of San Dimas,3266,9462,94,272,34516
"D0702",City of San Fernando,5314,21591,64,260,24612
"D0702",City of San Gabriel,3270,7985,205,501,40954
"D0702",City of San Marino,388,2922,10,75,13277
"D0702",City of Santa Clarita,20748,9413,266,121,220424
"D0702",City of Santa Fe Springs,2894,15759,38,207,18364
"D0702",City of Santa Monica,4895,5295,183,198,92446
"D0702",City of Sierra Madre,479,4359,13,118,10989
"D0702",City of Signal Hill,1146,9714,8,68,11797
"D0702",City of South El Monte,3439,16466,67,321,20885
"D0702",City of South Gate,18777,19130,232,236,98155
"D0702",City of South Pasadena,1335,5124,40,154,26053
"D0702",City of Temple City,2387,6548,122,335,36455
"D0702",City of Torrance,7545,5055,220,147,149268
"D0702",City of Vernon,124,59330,0,0,209
"D0702",City of Walnut,1778,5823,39,128,30532
"D0702",City of West Covina,12984,11996,266,246,108235
"D0702",City of West Hollywood,2407,6514,39,106,36951
"D0702",City of Westlake Village,117,1400,1,12,8360
"D0702",City of Whittier,11213,12825,243,278,87432
"D0702",Los Angeles,510176,12614,9760,241
"D0702",Los Angeles - Adams-Normandie,1211,14765,18,219,8202
"D0702",Los Angeles - Alsace,1603,12881,19,153,12445
"D0702",Los Angeles - Angeles National Forest,5,12500,0,0,40
"D0702",Los Angeles - Angelino Heights,292,11671,6,240,2502
"D0702",Los Angeles - Arleta,7122,20722,115,335,34370
"D0702",Los Angeles - Atwater Village,1432,9764,27,184,14666
"D0702",Los Angeles - Baldwin Hills,2785,8948,64,206,31125
"D0702",Los Angeles - Bel Air,410,4864,2,24,8429
"D0702",Los Angeles - Beverly Crest,669,5341,5,40,12525
"D0702",Los Angeles - Beverlywood,954,7242,2,15,13173
"D0702",Los Angeles - Boyle Heights,17560,20211,305,351,86884
"D0702",Los Angeles - Brentwood,1603,5178,17,55,30955
"D0702",Los Angeles - Brookside,33,5680,2,344,581
"D0702",Los Angeles - Cadillac-Corning,724,10167,10,140,7121
"D0702",Los Angeles - Canoga Park,9529,14595,170,260,65289
"D0702",Los Angeles - Carthay,967,6733,74,515,14363
"D0702",Los Angeles - Central,7669,19668,132,339,38992
"D0702",Los Angeles - Century City,644,5034,14,109,12792
"D0702",Los Angeles - Century Palms/Cove,6325,18732,97,287,33766
"D0702",Los Angeles - Chatsworth,3730,10064,80,216,37061
"D0702",Los Angeles - Cheviot Hills,465,5070,7,76,9171
"D0702",Los Angeles - Chinatown,741,9238,15,187,8021
"D0702",Los Angeles - Cloverdale/Cochran,1619,11125,23,158,14553
"D0702",Los Angeles - Country Club Park,1566,10335,80,528,15153
"D0702",Los Angeles - Crenshaw District,1485,10738,29,210,13829
"D0702",Los Angeles - Crestview,1042,9166,46,405,11368
"D0702",Los Angeles - Del Rey,2050,6848,32,107,29936
"D0702",Los Angeles - Downtown,4154,15102,52,189,27507
"D0702",Los Angeles - Eagle Rock,3711,9374,113,285,39589
"D0702",Los Angeles - East Hollywood,3299,11264,113,386,29287
"D0702",Los Angeles - Echo Park,1357,9519,21,147,14256
"D0702",Los Angeles - El Sereno,6261,14976,111,265,41808
"D0702",Los Angeles - Elysian Park,519,9086,4,70,5712
"D0702",Los Angeles - Elysian Valley,1316,12939,26,256,10171
"D0702",Los Angeles - Encino,3490,7726,63,139,45172
"D0702",Los Angeles - Exposition,368,11064,7,210,3326
"D0702",Los Angeles - Exposition Park,6271,13961,86,191,44917
"D0702",Los Angeles - Faircrest Heights,274,7611,3,83,3600
"D0702",Los Angeles - Figueroa Park Square,1364,15640,25,287,8721
"D0702",Los Angeles - Florence-Firestone,9349,19705,122,257,47445
"D0702",Los Angeles - Glassell Park,3460,10948,52,165,31604
"D0702",Los Angeles - Gramercy Place,1356,12598,24,223,10764
"D0702",Los Angeles - Granada Hills,6652,11431,186,320,58191
"D0702",Los Angeles - Green Meadows,4000,18600,55,256,21505
"D0702",Los Angeles - Hancock Park,1072,6291,7,41,17039
"D0702",Los Angeles - Harbor City,2577,8865,34,117,29070
"D0702",Los Angeles - Harbor Gateway,5012,11495,70,161,43600
"D0702",Los Angeles - Harbor Pines,174,7223,1,42,2409
"D0702",Los Angeles - Harvard Heights,2606,14450,71,394,18035
"D0702",Los Angeles - Harvard Park,7284,19201,99,261,37935
"D0702",Los Angeles - Highland Park,5844,12077,106,219,48391
"D0702",Los Angeles - Historic Filipinotown,2085,15032,78,562,13870
