date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0905",City of Agoura Hills,1346,6445,20,96,20883
"D0905",City of Alhambra,7869,9074,213,246,86724
"D0905",City of Arcadia,3215,5567,142,246,57754
"D0905",City of Artesia,2376,14147,73,435,16795
"D0905",City of Avalon,28,724,0,0,3869
"D0905",City of Azusa,7118,14225,122,244,50040
"D0905",City of Baldwin Park,14236,18544,327,426,76769
"D0905",City of Bell,7352,20236,123,339,36332
"D0905",City of Bell Gardens,8909,20684,114,265,43071
"D0905",City of Bellflower,12462,16031,205,264,77735
"D0905",City of Beverly Hills,3463,10032,34,98,34520
"D0905",City of Bradbury,41,3835,0,0,1069
"D0905",City of Burbank,10644,9931,252,235,107180
"D0905",City of Calabasas,1658,6817,33,136,24323
"D0905",City of Carson,11592,12352,259,276,93846
"D0905",City of Cerritos,3573,7136,58,116,50067
"D0905",City of Claremont,2656,7280,57,156,36484
"D0905",City of Commerce,2654,20308,39,298,13069
"D0905",City of Compton,19010,19028,265,265,99904
"D0905",City of Covina,7346,14982,172,351,49032
"D0905",City of Cudahy,5274,21662,64,263,24347
"D0905",City of Culver City,2766,6938,112,281,39865
"D0905",City of Diamond Bar,3826,6652,87,151,57515
"D0905",City of Downey,19717,17256,312,273,114263
"D0905",City of Duarte,2657,12068,98,445,22016
"D0905",City of El Monte,18534,15805,443,378,117269
"D0905",City of El Segundo,985,5868,10,60,16786
"D0905",City of Gardena,7473,12189,205,334,61310
"D0905",City of Glendale,23709,11482,653,316,206493
"D0905",City of Glendora,5658,10723,187,354,52764
"D0905",City of Hawaiian Gardens,2500,17035,24,164,14676
"D0905",City of Hawthorne,12197,13737,216,243,88787
"D0905",City of Hermosa Beach,1430,7270,10,51,19670
"D0905",City of Hidden Hills,123,6508,2,106,1890
"D0905",City of Huntington Park,12022,20210,176,296,59484
"D0905",City of Industry,188,43021,5,1144,437
"D0905",City of Inglewood,16225,14285,329,290,113582
"D0905",City of Irwindale,294,20151,7,480,1459
"D0905",City of La Canada Flintridge,995,4808,17,82,20693
"D0905",City of La Habra Heights,126,2310,2,37,5455
"D0905",City of La Mirada,5034,10149,119,240,49599
"D0905",City of La Puente,7315,17974,122,300,40697
"D0905",City of La Verne,3361,10099,58,174,33282
"D0905",City of Lakewood,8865,11031,114,142,80362
"D0905",City of Lancaster,26460,16377,303,188,161570
"D0905",City of Lawndale,4121,12260,55,164,33614
"D0905",City of Lomita,1824,8799,39,188,20729
"D0905",City of Lynwood,14519,20152,247,343,72047
"D0905",City of Malibu,615,4745,10,77,12961
"D0905",City of Manhattan Beach,1924,5345,18,50,35999
"D0905",City of Maywood,5657,20168,94,335,28049
"D0905",City of Monrovia,3747,9657,80,206,38800
"D0905",City of Montebello,11213,17418,226,351,64375
"D0905",City of Monterey Park,5393,8662,199,320,62262
"D0905",City of Norwalk,18006,16731,391,363,107622
"D0905",City of Palmdale,28193,17735,334,210,158968
"D0905",City of Palos Verdes Estates,628,4644,9,67,13522
"D0905",City of Paramount,11050,19724,160,286,56023
"D0905",City of Pico Rivera,12223,19014,277,431,64284
"D0905",City of Pomona,27917,17903,481,308,155931
"D0905",City of Rancho Palos Verdes,1985,4644,58,136,42747
"D0905",City of Redondo Beach,3854,5610,53,77,68697
