date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0704",City of Agoura Hills,1069,5119,19,91,20883
"D0704",City of Alhambra,6933,7994,209,241,86724
"D0704",City of Arcadia,2766,4789,137,237,57754
"D0704",City of Artesia,2089,12438,73,435,16795
"D0704",City of Avalon,16,414,0,0,3869
"D0704",City of Azusa,6352,12694,119,238,50040
"D0704",City of Baldwin Park,13215,17214,318,414,76769
"D0704",City of Bell,6818,18766,120,330,36332
"D0704",City of Bell Gardens,8400,19503,112,260,43071
"D0704",City of Bellflower,10875,13990,197,253,77735
"D0704",City of Beverly Hills,2741,7940,33,96,34520
"D0704",City of Bradbury,39,3648,0,0,1069
"D0704",City of Burbank,9029,8424,244,228,107180
"D0704",City of Calabasas,1305,5365,32,132,24323
"D0704",City of Carson,9960,10613,255,272,93846
"D0704",City of Cerritos,3102,6196,59,118,50067
"D0704",City of Claremont,2300,6304,56,153,36484
"D0704",City of Commerce,2407,18418,40,306,13069
"D0704",City of Compton,17243,17260,240,240,99904
"D0704",City of Covina,6458,13171,164,334,49032
"D0704",City of Cudahy,4830,19838,61,251,24347
"D0704",City of Culver City,2250,5644,110,276,39865
"D0704",City of Diamond Bar,3289,5719,85,148,57515
"D0704",City of Downey,17677,15470,300,263,114263
"D0704",City of Duarte,2329,10579,97,441,22016
"D0704",City of El Monte,17286,14740,435,371,117269
"D0704",City of El Segundo,748,4456,6,36,16786
"D0704",City of Gardena,6450,10520,193,315,61310
"D0704",City of Glendale,20331,9846,629,305,206493
"D0704",City of Glendora,4864,9218,178,337,52764
"D0704",City of Hawaiian Gardens,2258,15386,24,164,14676
"D0704",City of Hawthorne,10673,12021,211,238,88787
"D0704",City of Hermosa Beach,1034,5257,10,51,19670
"D0704",City of Hidden Hills,92,4868,2,106,1890
"D0704",City of Huntington Park,11293,18985,172,289,59484
"D0704",City of Industry,174,39817,6,1373,437
"D0704",City of Inglewood,13888,12227,311,274,113582
"D0704",City of Irwindale,254,17409,7,480,1459
"D0704",City of La Canada Flintridge,773,3736,17,82,20693
"D0704",City of La Habra Heights,117,2145,2,37,5455
"D0704",City of La Mirada,4332,8734,115,232,49599
"D0704",City of La Puente,6729,16534,120,295,40697
"D0704",City of La Verne,2927,8795,50,150,33282
"D0704",City of Lakewood,7407,9217,100,124,80362
"D0704",City of Lancaster,22645,14016,284,176,161570
