date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0331",City of Agoura Hills,1012,4846,18,86,20883
"D0331",City of Alhambra,6752,7786,198,228,86724
"D0331",City of Arcadia,2655,4597,128,222,57754
"D0331",City of Artesia,2035,12117,69,411,16795
"D0331",City of Avalon,16,414,0,0,3869
"D0331",City of Azusa,6216,12422,113,226,50040
"D0331",City of Baldwin Park,12991,16922,289,376,76769
"D0331",City of Bell,6702,18447,113,311,36332
"D0331",City of Bell Gardens,8221,19087,106,246,43071
"D0331",City of Bellflower,10559,13583,192,247,77735
"D0331",City of Beverly Hills,2599,7529,32,93,34520
"D0331",City of Bradbury,35,3274,0,0,1069
"D0331",City of Burbank,8651,8071,231,216,107180
"D0331",City of Calabasas,1206,4958,32,132,24323
"D0331",City of Carson,9452,10072,235,250,93846
"D0331",City of Cerritos,2984,5960,55,110,50067
"D0331",City of Claremont,2230,6112,51,140,36484
"D0331",City of Commerce,2381,18219,39,298,13069
"D0331",City of Compton,16692,16708,221,221,99904
"D0331",City of Covina,6327,12904,153,312,49032
"D0331",City of Cudahy,4729,19423,59,242,24347
"D0331",City of Culver City,2154,5403,104,261,39865
"D0331",City of Diamond Bar,3172,5515,77,134,57515
"D0331",City of Downey,17264,15109,285,249,114263
"D0331",City of Duarte,2287,10388,92,418,22016
"D0331",City of El Monte,17024,14517,414,353,117269
"D0331",City of El Segundo,691,4117,6,36,16786
"D0331",City of Gardena,6171,10065,180,294,61310
"D0331",City of Glendale,19503,9445,588,285,206493
"D0331",City of Glendora,4716,8938,173,328,52764
"D0331",City of Hawaiian Gardens,2201,14997,18,123,14676
"D0331",City of Hawthorne,10261,11557,196,221,88787
"D0331",City of Hermosa Beach,954,4850,10,51,19670
"D0331",City of Hidden Hills,86,4550,2,106,1890
"D0331",City of Huntington Park,11085,18635,164,276,59484
"D0331",City of Industry,167,38215,6,1373,437
"D0331",City of Inglewood,13330,11736,293,258,113582
"D0331",City of Irwindale,250,17135,5,343,1459
"D0331",City of La Canada Flintridge,743,3591,16,77,20693
"D0331",City of La Habra Heights,109,1998,1,18,5455
"D0331",City of La Mirada,4186,8440,110,222,49599
"D0331",City of La Puente,6617,16259,112,275,40697
"D0331",City of La Verne,2806,8431,50,150,33282
"D0331",City of Lakewood,7126,8867,90,112,80362
"D0331",City of Lancaster,21596,13366,269,166,161570
"D0331",City of Lawndale,3517,10463,53,158,33614
"D0331",City of Lomita,1427,6884,28,135,20729
"D0331",City of Lynwood,13155,18259,225,312,72047
"D0331",City of Malibu,390,3009,7,54,12961
"D0331",City of Manhattan Beach,1278,3550,18,50,35999
"D0331",City of Maywood,5156,18382,83,296,28049
"D0331",City of Monrovia,3122,8046,74,191,38800
"D0331",City of Montebello,10053,15616,203,315,64375
"D0331",City of Monterey Park,4746,7623,185,297,62262
"D0331",City of Norwalk,15889,14764,345,321,107622
"D0331",City of Palmdale,24132,15180,297,187,158968
"D0331",City of Palos Verdes Estates,427,3158,9,67,13522
"D0331",City of Paramount,9800,17493,143,255,56023
"D0331",City of Pico Rivera,10991,17098,256,398,64284
"D0331",City of Pomona,24078,15441,435,279,155931
"D0331",City of Rancho Palos Verdes,1452,3397,53,124,42747
"D0331",City of Redondo Beach,2664,3878,45,66,68697
"D0331",City of Rolling Hills,54,2784,2,103,1940
"D0331",City of Rolling Hills Estates,271,3340,8,99,8113
"D0331",City of Rosemead,4871,8800,132,238,55350
"D0331",City of San Dimas,3173,9193,87,252,34516
"D0331",City of San Fernando,5201,21132,59,240,24612
"D0331",City of San Gabriel,3179,7762,194,474,40954
"D0331",City of San Marino,374,2817,9,68,13277
"D0331",City of Santa Clarita,19954,9053,257,117,220424
"D0331",City of Santa Fe Springs,2826,15389,35,191,18364
"D0331",City of Santa Monica,4604,4980,177,191,92446
"D0331",City of Sierra Madre,458,4168,13,118,10989
"D0331",City of Signal Hill,1121,9502,8,68,11797
"D0331",City of South El Monte,3390,16232,59,282,20885
"D0331",City of South Gate,18388,18734,222,226,98155
"D0331",City of South Pasadena,1297,4978,39,150,26053
"D0331",City of Temple City,2328,6386,116,318,36455
"D0331",City of Torrance,7030,4710,201,135,149268
"D0331",City of Vernon,125,59809,0,0,209
"D0331",City of Walnut,1742,5705,36,118,30532
"D0331",City of West Covina,12679,11714,244,225,108235
"D0331",City of West Hollywood,2227,6027,36,97,36951
"D0331",City of Westlake Village,108,1292,1,12,8360
"D0331",City of Whittier,10908,12476,232,265,87432
"D0331",Los Angeles,495360,12247,9288,230
"D0331",Los Angeles - Adams-Normandie,1178,14362,18,219,8202
"D0331",Los Angeles - Alsace,1563,12559,20,161,12445
"D0331",Los Angeles - Angeles National Forest,5,12500,0,0,40
"D0331",Los Angeles - Angelino Heights,280,11191,6,240,2502
"D0331",Los Angeles - Arleta,7003,20375,108,314,34370
"D0331",Los Angeles - Atwater Village,1386,9450,27,184,14666
