date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0712",City of Agoura Hills,1079,5167,19,91,20883
"D0712",City of Alhambra,6975,8043,210,242,86724
"D0712",City of Arcadia,2779,4812,138,239,57754
"D0712",City of Artesia,2101,12510,73,435,16795
"D0712",City of Avalon,17,439,0,0,3869
"D0712",City of Azusa,6377,12744,119,238,50040
"D0712",City of Baldwin Park,13237,17243,318,414,76769
"D0712",City of Bell,6834,18810,121,333,36332
"D0712",City of Bell Gardens,8411,19528,112,260,43071
"D0712",City of Bellflower,10923,14052,197,253,77735
"D0712",City of Beverly Hills,2807,8132,33,96,34520
"D0712",City of Bradbury,39,3648,0,0,1069
"D0712",City of Burbank,9120,8509,244,228,107180
"D0712",City of Calabasas,1324,5443,32,132,24323
"D0712",City of Carson,10013,10670,256,273,93846
"D0712",City of Cerritos,3123,6238,59,118,50067
"D0712",City of Claremont,2312,6337,56,153,36484
"D0712",City of Commerce,2409,18433,40,306,13069
"D0712",City of Compton,17313,17330,241,241,99904
"D0712",City of Covina,6471,13198,164,334,49032
"D0712",City of Cudahy,4838,19871,61,251,24347
"D0712",City of Culver City,2280,5719,110,276,39865
"D0712",City of Diamond Bar,3301,5739,85,148,57515
"D0712",City of Downey,17754,15538,299,262,114263
"D0712",City of Duarte,2336,10610,97,441,22016
"D0712",City of El Monte,17331,14779,434,370,117269
"D0712",City of El Segundo,760,4528,6,36,16786
"D0712",City of Gardena,6502,10605,195,318,61310
"D0712",City of Glendale,20479,9918,630,305,206493
"D0712",City of Glendora,4890,9268,179,339,52764
"D0712",City of Hawaiian Gardens,2265,15433,24,164,14676
"D0712",City of Hawthorne,10737,12093,211,238,88787
"D0712",City of Hermosa Beach,1059,5384,10,51,19670
"D0712",City of Hidden Hills,93,4921,2,106,1890
"D0712",City of Huntington Park,11315,19022,173,291,59484
"D0712",City of Industry,174,39817,6,1373,437
"D0712",City of Inglewood,14018,12342,310,273,113582
"D0712",City of Irwindale,254,17409,7,480,1459
"D0712",City of La Canada Flintridge,779,3765,17,82,20693
"D0712",City of La Habra Heights,120,2200,2,37,5455
"D0712",City of La Mirada,4343,8756,115,232,49599
"D0712",City of La Puente,6748,16581,120,295,40697
"D0712",City of La Verne,2929,8801,50,150,33282
"D0712",City of Lakewood,7458,9281,100,124,80362
"D0712",City of Lancaster,22798,14110,286,177,161570
"D0712",City of Lawndale,3673,10927,54,161,33614
"D0712",City of Lomita,1528,7371,35,169,20729
"D0712",City of Lynwood,13453,18673,238,330,72047
"D0712",City of Malibu,467,3603,8,62,12961
"D0712",City of Manhattan Beach,1427,3964,17,47,35999
"D0712",City of Maywood,5254,18732,92,328,28049
"D0712",City of Monrovia,3233,8332,79,204,38800
"D0712",City of Montebello,10279,15967,219,340,64375
"D0712",City of Monterey Park,4879,7836,193,310,62262
"D0712",City of Norwalk,16280,15127,376,349,107622
"D0712",City of Palmdale,25126,15806,312,196,158968
"D0712",City of Palos Verdes Estates,499,3690,9,67,13522
"D0712",City of Paramount,10053,17944,153,273,56023
"D0712",City of Pico Rivera,11257,17511,270,420,64284
"D0712",City of Pomona,24635,15799,462,296,155931
"D0712",City of Rancho Palos Verdes,1579,3694,58,136,42747
"D0712",City of Redondo Beach,2964,4315,51,74,68697
"D0712",City of Rolling Hills,60,3093,2,103,1940
"D0712",City of Rolling Hills Estates,298,3673,8,99,8113
"D0712",City of Rosemead,4993,9021,150,271,55350
"D0712",City of San Dimas,3286,9520,93,269,34516
"D0712",City of San Fernando,5332,21664,64,260,24612
"D0712",City of San Gabriel,3279,8007,205,501,40954
"D0712",City of San Marino,391,2945,10,75,13277
"D0712",City of Santa Clarita,20955,9507,266,121,220424
"D0712",City of Santa Fe Springs,2913,15863,38,207,18364
"D0712",City of Santa Monica,4980,5387,182,197,92446
"D0712",City of Sierra Madre,481,4377,13,118,10989
"D0712",City of Signal Hill,1151,9757,8,68,11797
