date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0211",City of Agoura Hills,925,4429,13,62,20883
"D0211",City of Alhambra,6493,7487,160,184,86724
"D0211",City of Arcadia,2507,4341,98,170,57754
"D0211",City of Artesia,1923,11450,49,292,16795
"D0211",City of Avalon,14,362,0,0,3869
"D0211",City of Azusa,5950,11890,90,180,50040
"D0211",City of Baldwin Park,12509,16294,243,317,76769
"D0211",City of Bell,6441,17728,87,239,36332
"D0211",City of Bell Gardens,7885,18307,82,190,43071
"D0211",City of Bellflower,10132,13034,150,193,77735
"D0211",City of Beverly Hills,2352,6813,26,75,34520
"D0211",City of Bradbury,34,3181,0,0,1069
"D0211",City of Burbank,7935,7403,183,171,107180
"D0211",City of Calabasas,1086,4465,25,103,24323
"D0211",City of Carson,8719,9291,188,200,93846
"D0211",City of Cerritos,2781,5555,39,78,50067
"D0211",City of Claremont,2127,5830,45,123,36484
"D0211",City of Commerce,2301,17607,33,253,13069
"D0211",City of Compton,15914,15929,179,179,99904
"D0211",City of Covina,6112,12465,122,249,49032
"D0211",City of Cudahy,4566,18754,47,193,24347
"D0211",City of Culver City,2013,5050,74,186,39865
"D0211",City of Diamond Bar,3013,5239,49,85,57515
"D0211",City of Downey,16606,14533,219,192,114263
"D0211",City of Duarte,2185,9925,70,318,22016
"D0211",City of El Monte,16488,14060,354,302,117269
"D0211",City of El Segundo,618,3682,4,24,16786
"D0211",City of Gardena,5837,9520,132,215,61310
"D0211",City of Glendale,17768,8605,477,231,206493
"D0211",City of Glendora,4460,8453,141,267,52764
"D0211",City of Hawaiian Gardens,2109,14370,5,34,14676
"D0211",City of Hawthorne,9658,10878,153,172,88787
"D0211",City of Hermosa Beach,858,4362,10,51,19670
"D0211",City of Hidden Hills,75,3968,1,53,1890
"D0211",City of Huntington Park,10739,18054,133,224,59484
"D0211",City of Industry,159,36384,3,686,437
"D0211",City of Inglewood,12718,11197,249,219,113582
"D0211",City of Irwindale,245,16792,3,206,1459
"D0211",City of La Canada Flintridge,682,3296,13,63,20693
"D0211",City of La Habra Heights,98,1797,1,18,5455
"D0211",City of La Mirada,3958,7980,81,163,49599
"D0211",City of La Puente,6363,15635,87,214,40697
"D0211",City of La Verne,2643,7941,40,120,33282
"D0211",City of Lakewood,6711,8351,57,71,80362
"D0211",City of Lancaster,20450,12657,220,136,161570
"D0211",City of Lawndale,3244,9651,39,116,33614
"D0211",City of Lomita,1271,6132,19,92,20729
"D0211",City of Lynwood,12638,17541,189,262,72047
"D0211",City of Malibu,331,2554,6,46,12961
"D0211",City of Manhattan Beach,1151,3197,14,39,35999
"D0211",City of Maywood,4972,17726,71,253,28049
"D0211",City of Monrovia,2996,7722,60,155,38800
"D0211",City of Montebello,9711,15085,157,244,64375
"D0211",City of Monterey Park,4542,7295,148,238,62262
"D0211",City of Norwalk,15220,14142,255,237,107622
"D0211",City of Palmdale,23042,14495,252,159,158968
"D0211",City of Palos Verdes Estates,371,2744,6,44,13522
