date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0621",City of Agoura Hills,1058,5066,19,91,20883
"D0621",City of Alhambra,6913,7971,208,240,86724
"D0621",City of Arcadia,2743,4749,137,237,57754
"D0621",City of Artesia,2081,12391,72,429,16795
"D0621",City of Avalon,16,414,0,0,3869
"D0621",City of Azusa,6336,12662,119,238,50040
"D0621",City of Baldwin Park,13183,17172,317,413,76769
"D0621",City of Bell,6810,18744,119,328,36332
"D0621",City of Bell Gardens,8392,19484,113,262,43071
"D0621",City of Bellflower,10833,13936,197,253,77735
"D0621",City of Beverly Hills,2699,7819,33,96,34520
"D0621",City of Bradbury,39,3648,0,0,1069
"D0621",City of Burbank,8993,8391,242,226,107180
"D0621",City of Calabasas,1297,5332,32,132,24323
"D0621",City of Carson,9912,10562,254,271,93846
"D0621",City of Cerritos,3086,6164,59,118,50067
"D0621",City of Claremont,2292,6282,56,153,36484
"D0621",City of Commerce,2402,18379,40,306,13069
"D0621",City of Compton,17181,17198,238,238,99904
"D0621",City of Covina,6410,13073,163,332,49032
"D0621",City of Cudahy,4814,19772,60,246,24347
"D0621",City of Culver City,2238,5614,110,276,39865
"D0621",City of Diamond Bar,3277,5698,85,148,57515
"D0621",City of Downey,17631,15430,301,263,114263
"D0621",City of Duarte,2323,10551,98,445,22016
"D0621",City of El Monte,17239,14700,435,371,117269
"D0621",City of El Segundo,742,4420,6,36,16786
"D0621",City of Gardena,6414,10462,192,313,61310
"D0621",City of Glendale,20249,9806,628,304,206493
"D0621",City of Glendora,4855,9201,177,335,52764
"D0621",City of Hawaiian Gardens,2243,15283,24,164,14676
"D0621",City of Hawthorne,10628,11970,209,235,88787
"D0621",City of Hermosa Beach,1023,5201,10,51,19670
"D0621",City of Hidden Hills,91,4815,2,106,1890
"D0621",City of Huntington Park,11268,18943,172,289,59484
"D0621",City of Industry,173,39588,6,1373,437
"D0621",City of Inglewood,13773,12126,310,273,113582
"D0621",City of Irwindale,253,17341,7,480,1459
"D0621",City of La Canada Flintridge,771,3726,17,82,20693
"D0621",City of La Habra Heights,116,2126,2,37,5455
"D0621",City of La Mirada,4316,8702,115,232,49599
"D0621",City of La Puente,6714,16498,120,295,40697
"D0621",City of La Verne,2910,8743,50,150,33282
"D0621",City of Lakewood,7358,9156,99,123,80362
"D0621",City of Lancaster,22478,13912,283,175,161570
"D0621",City of Lawndale,3634,10811,54,161,33614
"D0621",City of Lomita,1511,7289,34,164,20729
"D0621",City of Lynwood,13374,18563,234,325,72047
"D0621",City of Malibu,447,3449,8,62,12961
"D0621",City of Manhattan Beach,1384,3845,17,47,35999
"D0621",City of Maywood,5250,18717,92,328,28049
"D0621",City of Monrovia,3199,8245,78,201,38800
"D0621",City of Montebello,10217,15871,218,339,64375
"D0621",City of Monterey Park,4840,7774,193,310,62262
"D0621",City of Norwalk,16213,15065,375,348,107622
"D0621",City of Palmdale,24793,15596,310,195,158968
"D0621",City of Palos Verdes Estates,486,3594,9,67,13522
"D0621",City of Paramount,10001,17852,153,273,56023
"D0621",City of Pico Rivera,11193,17412,269,418,64284
"D0621",City of Pomona,24480,15699,459,294,155931
"D0621",City of Rancho Palos Verdes,1550,3626,58,136,42747
"D0621",City of Redondo Beach,2891,4208,50,73,68697
"D0621",City of Rolling Hills,59,3041,2,103,1940
"D0621",City of Rolling Hills Estates,291,3587,8,99,8113
"D0621",City of Rosemead,4968,8976,151,273,55350
"D0621",City of San Dimas,3257,9436,93,269,34516
"D0621",City of San Fernando,5300,21534,64,260,24612
"D0621",City of San Gabriel,3262,7965,204,498,40954
"D0621",City of San Marino,388,2922,10,75,13277
"D0621",City of Santa Clarita,20613,9352,264,120,220424
"D0621",City of Santa Fe Springs,2890,15737,38,207,18364
"D0621",City of Santa Monica,4861,5258,183,198,92446
"D0621",City of Sierra Madre,473,4304,13,118,10989
"D0621",City of Signal Hill,1145,9706,8,68,11797
"D0621",City of South El Monte,3435,16447,67,321,20885
"D0621",City of South Gate,18722,19074,230,234,98155
"D0621",City of South Pasadena,1333,5116,40,154,26053
"D0621",City of Temple City,2378,6523,122,335,36455
"D0621",City of Torrance,7501,5025,220,147,149268
"D0621",City of Vernon,124,59330,0,0,209
"D0621",City of Walnut,1771,5800,39,128,30532
"D0621",City of West Covina,12950,11965,265,245,108235
"D0621",City of West Hollywood,2377,6433,39,106,36951
"D0621",City of Westlake Village,114,1364,1,12,8360
"D0621",City of Whittier,11174,12780,242,277,87432
"D0621",Los Angeles,508416,12570,9745,241
"D0621",Los Angeles - Adams-Normandie,1207,14716,18,219,8202
"D0621",Los Angeles - Alsace,1596,12824,19,153,12445
"D0621",Los Angeles - Angeles National Forest,5,12500,0,0,40
"D0621",Los Angeles - Angelino Heights,290,11591,6,240,2502
"D0621",Los Angeles - Arleta,7116,20704,115,335,34370
"D0621",Los Angeles - Atwater Village,1429,9744,27,184,14666
"D0621",Los Angeles - Baldwin Hills,2768,8893,64,206,31125
"D0621",Los Angeles - Bel Air,407,4829,2,24,8429
"D0621",Los Angeles - Beverly Crest,653,5214,5,40,12525
"D0621",Los Angeles - Beverlywood,942,7151,2,15,13173
"D0621",Los Angeles - Boyle Heights,17538,20186,304,350,86884
"D0621",Los Angeles - Brentwood,1586,5124,17,55,30955
"D0621",Los Angeles - Brookside,33,5680,2,344,581
"D0621",Los Angeles - Cadillac-Corning,720,10111,10,140,7121
"D0621",Los Angeles - Canoga Park,9497,14546,170,260,65289
"D0621",Los Angeles - Carthay,957,6663,74,515,14363
"D0621",Los Angeles - Central,7655,19632,133,341,38992
"D0621",Los Angeles - Century City,635,4964,14,109,12792
"D0621",Los Angeles - Century Palms/Cove,6305,18673,97,287,33766
"D0621",Los Angeles - Chatsworth,3697,9975,79,213,37061
"D0621",Los Angeles - Cheviot Hills,464,5059,7,76,9171
"D0621",Los Angeles - Chinatown,739,9213,15,187,8021
"D0621",Los Angeles - Cloverdale/Cochran,1612,11077,23,158,14553
"D0621",Los Angeles - Country Club Park,1560,10295,79,521,15153
"D0621",Los Angeles - Crenshaw District,1481,10709,29,210,13829
"D0621",Los Angeles - Crestview,1038,9131,46,405,11368
"D0621",Los Angeles - Del Rey,2043,6825,32,107,29936
"D0621",Los Angeles - Downtown,4129,15011,52,189,27507
"D0621",Los Angeles - Eagle Rock,3694,9331,113,285,39589
"D0621",Los Angeles - East Hollywood,3290,11234,113,386,29287
"D0621",Los Angeles - Echo Park,1344,9428,21,147,14256
"D0621",Los Angeles - El Sereno,6248,14945,111,265,41808
"D0621",Los Angeles - Elysian Park,518,9069,4,70,5712
"D0621",Los Angeles - Elysian Valley,1314,12919,26,256,10171
"D0621",Los Angeles - Encino,3475,7693,63,139,45172
"D0621",Los Angeles - Exposition,366,11004,7,210,3326
"D0621",Los Angeles - Exposition Park,6257,13930,86,191,44917
"D0621",Los Angeles - Faircrest Heights,274,7611,2,56,3600
"D0621",Los Angeles - Figueroa Park Square,1361,15606,25,287,8721
