date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0330",City of Agoura Hills,1013,4851,18,86,20883
"D0330",City of Alhambra,6750,7783,199,229,86724
"D0330",City of Arcadia,2649,4587,126,218,57754
"D0330",City of Artesia,2031,12093,69,411,16795
"D0330",City of Avalon,16,414,0,0,3869
"D0330",City of Azusa,6212,12414,113,226,50040
"D0330",City of Baldwin Park,12989,16920,286,373,76769
"D0330",City of Bell,6701,18444,111,306,36332
"D0330",City of Bell Gardens,8218,19080,106,246,43071
"D0330",City of Bellflower,10547,13568,191,246,77735
"D0330",City of Beverly Hills,2593,7512,32,93,34520
"D0330",City of Bradbury,35,3274,0,0,1069
"D0330",City of Burbank,8640,8061,230,215,107180
"D0330",City of Calabasas,1201,4938,32,132,24323
"D0330",City of Carson,9446,10065,238,254,93846
"D0330",City of Cerritos,2982,5956,54,108,50067
"D0330",City of Claremont,2227,6104,51,140,36484
"D0330",City of Commerce,2381,18219,39,298,13069
"D0330",City of Compton,16681,16697,222,222,99904
"D0330",City of Covina,6325,12900,153,312,49032
"D0330",City of Cudahy,4728,19419,59,242,24347
"D0330",City of Culver City,2152,5398,102,256,39865
"D0330",City of Diamond Bar,3168,5508,77,134,57515
"D0330",City of Downey,17252,15099,284,249,114263
"D0330",City of Duarte,2287,10388,92,418,22016
"D0330",City of El Monte,17022,14515,413,352,117269
"D0330",City of El Segundo,691,4117,6,36,16786
"D0330",City of Gardena,6167,10059,180,294,61310
"D0330",City of Glendale,19486,9437,586,284,206493
"D0330",City of Glendora,4709,8925,172,326,52764
"D0330",City of Hawaiian Gardens,2199,14984,16,109,14676
"D0330",City of Hawthorne,10256,11551,196,221,88787
"D0330",City of Hermosa Beach,954,4850,10,51,19670
"D0330",City of Hidden Hills,86,4550,2,106,1890
"D0330",City of Huntington Park,11081,18629,164,276,59484
"D0330",City of Industry,166,37986,6,1373,437
"D0330",City of Inglewood,13323,11730,292,257,113582
"D0330",City of Irwindale,250,17135,5,343,1459
"D0330",City of La Canada Flintridge,741,3581,16,77,20693
"D0330",City of La Habra Heights,109,1998,1,18,5455
"D0330",City of La Mirada,4179,8426,108,218,49599
"D0330",City of La Puente,6612,16247,112,275,40697
"D0330",City of La Verne,2805,8428,51,153,33282
"D0330",City of Lakewood,7119,8859,87,108,80362
"D0330",City of Lancaster,21587,13361,270,167,161570
"D0330",City of Lawndale,3514,10454,54,161,33614
"D0330",City of Lomita,1424,6870,27,130,20729
"D0330",City of Lynwood,13149,18251,225,312,72047
"D0330",City of Malibu,391,3017,7,54,12961
"D0330",City of Manhattan Beach,1276,3545,19,53,35999
"D0330",City of Maywood,5157,18386,84,299,28049
"D0330",City of Monrovia,3118,8036,74,191,38800
"D0330",City of Montebello,10048,15609,201,312,64375
"D0330",City of Monterey Park,4740,7613,181,291,62262
"D0330",City of Norwalk,15879,14754,343,319,107622
"D0330",City of Palmdale,24125,15176,298,187,158968
"D0330",City of Palos Verdes Estates,427,3158,9,67,13522
"D0330",City of Paramount,9794,17482,142,253,56023
"D0330",City of Pico Rivera,10984,17087,256,398,64284
"D0330",City of Pomona,24066,15434,435,279,155931
"D0330",City of Rancho Palos Verdes,1452,3397,54,126,42747
"D0330",City of Redondo Beach,2661,3874,45,66,68697
"D0330",City of Rolling Hills,54,2784,2,103,1940
"D0330",City of Rolling Hills Estates,269,3316,8,99,8113
"D0330",City of Rosemead,4868,8795,132,238,55350
"D0330",City of San Dimas,3167,9175,85,246,34516
"D0330",City of San Fernando,5198,21120,58,236,24612
"D0330",City of San Gabriel,3180,7765,194,474,40954
"D0330",City of San Marino,373,2809,9,68,13277
"D0330",City of Santa Clarita,19926,9040,258,117,220424
"D0330",City of Santa Fe Springs,2826,15389,35,191,18364
"D0330",City of Santa Monica,4594,4969,174,188,92446
"D0330",City of Sierra Madre,454,4131,12,109,10989
"D0330",City of Signal Hill,1121,9502,8,68,11797
"D0330",City of South El Monte,3388,16222,59,282,20885
"D0330",City of South Gate,18379,18724,221,225,98155
"D0330",City of South Pasadena,1297,4978,39,150,26053
"D0330",City of Temple City,2329,6389,117,321,36455
"D0330",City of Torrance,7020,4703,198,133,149268
"D0330",City of Vernon,125,59809,0,0,209
"D0330",City of Walnut,1741,5702,36,118,30532
"D0330",City of West Covina,12676,11712,244,225,108235
"D0330",City of West Hollywood,2223,6016,36,97,36951
"D0330",City of Westlake Village,108,1292,1,12,8360
"D0330",City of Whittier,10903,12470,230,263,87432
"D0330",Los Angeles,495061,12240,9268,229
"D0330",Los Angeles - Adams-Normandie,1178,14362,18,219,8202
"D0330",Los Angeles - Alsace,1565,12575,20,161,12445
"D0330",Los Angeles - Angeles National Forest,5,12500,0,0,40
"D0330",Los Angeles - Angelino Heights,280,11191,6,240,2502
"D0330",Los Angeles - Arleta,7001,20370,108,314,34370
"D0330",Los Angeles - Atwater Village,1386,9450,27,184,14666
"D0330",Los Angeles - Baldwin Hills,2663,8556,57,183,31125
"D0330",Los Angeles - Bel Air,386,4579,2,24,8429
"D0330",Los Angeles - Beverly Crest,614,4902,5,40,12525
"D0330",Los Angeles - Beverlywood,876,6650,3,23,13173
"D0330",Los Angeles - Boyle Heights,17270,19877,292,336,86884
"D0330",Los Angeles - Brentwood,1489,4810,18,58,30955
"D0330",Los Angeles - Brookside,31,5336,2,344,581
"D0330",Los Angeles - Cadillac-Corning,691,9704,9,126,7121
"D0330",Los Angeles - Canoga Park,9223,14126,164,251,65289
"D0330",Los Angeles - Carthay,909,6329,71,494,14363
"D0330",Los Angeles - Central,7515,19273,131,336,38992
