date,name,Cases,Case Rate,Deaths,Death Rate,population
"D1006",City of Agoura Hills,1412,6761,19,91,20883
"D1006",City of Alhambra,8113,9355,216,249,86724
"D1006",City of Arcadia,3330,5766,147,255,57754
"D1006",City of Artesia,2429,14463,80,476,16795
"D1006",City of Avalon,31,801,0,0,3869
"D1006",City of Azusa,7367,14722,128,256,50040
"D1006",City of Baldwin Park,14570,18979,329,429,76769
"D1006",City of Bell,7514,20681,125,344,36332
"D1006",City of Bell Gardens,9038,20984,120,279,43071
"D1006",City of Bellflower,12891,16583,212,273,77735
"D1006",City of Beverly Hills,3594,10411,34,98,34520
"D1006",City of Bradbury,42,3929,0,0,1069
"D1006",City of Burbank,11076,10334,256,239,107180
"D1006",City of Calabasas,1747,7183,34,140,24323
"D1006",City of Carson,11951,12735,265,282,93846
"D1006",City of Cerritos,3710,7410,62,124,50067
"D1006",City of Claremont,2801,7677,58,159,36484
"D1006",City of Commerce,2696,20629,40,306,13069
"D1006",City of Compton,19536,19555,275,275,99904
"D1006",City of Covina,7628,15557,178,363,49032
"D1006",City of Cudahy,5356,21999,65,267,24347
"D1006",City of Culver City,2886,7239,114,286,39865
"D1006",City of Diamond Bar,3961,6887,88,153,57515
"D1006",City of Downey,20285,17753,319,279,114263
"D1006",City of Duarte,2740,12445,99,450,22016
"D1006",City of El Monte,18993,16196,453,386,117269
"D1006",City of El Segundo,1060,6315,10,60,16786
"D1006",City of Gardena,7751,12642,210,343,61310
"D1006",City of Glendale,24482,11856,680,329,206493
"D1006",City of Glendora,5896,11174,197,373,52764
"D1006",City of Hawaiian Gardens,2558,17430,26,177,14676
"D1006",City of Hawthorne,12574,14162,234,264,88787
"D1006",City of Hermosa Beach,1539,7824,11,56,19670
"D1006",City of Hidden Hills,134,7090,2,106,1890
"D1006",City of Huntington Park,12314,20701,182,306,59484
"D1006",City of Industry,191,43707,5,1144,437
"D1006",City of Inglewood,16671,14678,342,301,113582
"D1006",City of Irwindale,299,20493,7,480,1459
"D1006",City of La Canada Flintridge,1053,5089,17,82,20693
"D1006",City of La Habra Heights,128,2346,2,37,5455
"D1006",City of La Mirada,5321,10728,126,254,49599
"D1006",City of La Puente,7460,18331,126,310,40697
"D1006",City of La Verne,3525,10591,60,180,33282
"D1006",City of Lakewood,9271,11537,121,151,80362
"D1006",City of Lancaster,27903,17270,321,199,161570
"D1006",City of Lawndale,4255,12658,58,173,33614
"D1006",City of Lomita,1920,9262,42,203,20729
"D1006",City of Lynwood,14848,20609,250,347,72047
"D1006",City of Malibu,660,5092,10,77,12961
"D1006",City of Manhattan Beach,2040,5667,19,53,35999
"D1006",City of Maywood,5735,20446,94,335,28049
"D1006",City of Monrovia,3955,10193,82,211,38800
"D1006",City of Montebello,11449,17785,233,362,64375
"D1006",City of Monterey Park,5560,8930,205,329,62262
"D1006",City of Norwalk,18407,17103,404,375,107622
"D1006",City of Palmdale,29381,18482,357,225,158968
"D1006",City of Palos Verdes Estates,659,4874,10,74,13522
"D1006",City of Paramount,11324,20213,170,303,56023
"D1006",City of Pico Rivera,12479,19412,280,436,64284
"D1006",City of Pomona,28928,18552,496,318,155931
"D1006",City of Rancho Palos Verdes,2095,4901,60,140,42747
"D1006",City of Redondo Beach,4050,5895,56,82,68697
