OBJECTID,Geo_ID,Geo_Type,Geo_Name,Geo_Short_Name,Suppressed,Shape__Area,Shape__Length,Label
139,csa_la_exposition,Los Angeles City Neighborhood,Los Angeles - Exposition,Exposition,1,9822071.75488281,13747.7879623559,Exposition
140,csa_la_faircrest_heights,Los Angeles City Neighborhood,Los Angeles - Faircrest Heights,Faircrest Heights,1,13095367.1044922,16164.8668860299,Faircrest Heights
141,csa_la_figueroa_park_square,Los Angeles City Neighborhood,Los Angeles - Figueroa Park Square,Figueroa Park Square,1,19926425.96875,21605.5237955371,Figueroa Park Square
142,csa_la_gramercy_place,Los Angeles City Neighborhood,Los Angeles - Gramercy Place,Gramercy Place,1,31930657.1494141,26453.6258828232,Gramercy Place
143,csa_la_hancock_park,Los Angeles City Neighborhood,Los Angeles - Hancock Park,Hancock Park,1,57323010.2744141,35841.9607720868,Hancock Park
144,csa_la_harvard_heights,Los Angeles City Neighborhood,Los Angeles - Harvard Heights,Harvard Heights,1,20898421.7519531,21077.3857050378,Harvard Heights
145,csa_la_historic_filipinotown,Los Angeles City Neighborhood,Los Angeles - Historic Filipinotown,Historic Filipinotown,1,16690240.0195313,21157.1871100866,Historic Filipinotown
146,csa_la_jefferson_park,Los Angeles City Neighborhood,Los Angeles - Jefferson Park,Jefferson Park,1,12565603.5546875,14198.7641858573,Jefferson Park
147,csa_la_lafayette_square,Los Angeles City Neighborhood,Los Angeles - Lafayette Square,Lafayette Square,1,7241468.82421875,11685.6184471417,Lafayette Square
148,csa_la_lakeview_terrace,Los Angeles City Neighborhood,Los Angeles - Lakeview Terrace,Lakeview Terrace,1,166522233.59668,115860.623246831,Lakeview Terrace
149,csa_la_leimert_park,Los Angeles City Neighborhood,Los Angeles - Leimert Park,Leimert Park,1,36693385.5771484,28369.9588370989,Leimert Park
150,csa_la_little_armenia,Los Angeles City Neighborhood,Los Angeles - Little Armenia,Little Armenia,1,7022268.66894531,10599.0559128235,Little Armenia
151,csa_la_little_tokyo,Los Angeles City Neighborhood,Los Angeles - Little Tokyo,Little Tokyo,1,6229587.15917969,11677.7940046356,Little Tokyo
152,csa_la_los_feliz,Los Angeles City Neighborhood,Los Angeles - Los Feliz,Los Feliz,0,291480012.407227,90452.0290915367,Los Feliz
153,csa_la_mar_vista,Los Angeles City Neighborhood,Los Angeles - Mar Vista,Mar Vista,0,98061672.0800781,51053.2207919977,Mar Vista
