date,name,Cases,Case Rate,population
"D0502",City of Agoura Hills,31,148.45,20883
"D0502",City of Alhambra,87,100.32,86724
"D0502",City of Arcadia,43,74.45,57754
"D0502",City of Artesia,14,83.36,16795
"D0502",City of Avalon,0,0,3869
"D0502",City of Azusa,77,153.88,50040
"D0502",City of Baldwin Park,100,130.26,76769
"D0502",City of Bell,137,377.08,36332
"D0502",City of Bell Gardens,109,253.07,43071
"D0502",City of Bellflower,139,178.81,77735
"D0502",City of Beverly Hills,112,324.45,34520
"D0502",City of Bradbury,1,93.55,1069
"D0502",City of Burbank,256,238.85,107180
"D0502",City of Calabasas,43,176.79,24323
"D0502",City of Carson,252,268.53,93846
"D0502",City of Cerritos,56,111.85,50067
"D0502",City of Claremont,24,65.78,36484
"D0502",City of Commerce,13,99.47,13069
"D0502",City of Compton,218,218.21,99904
"D0502",City of Covina,101,205.99,49032
"D0502",City of Cudahy,80,328.58,24347
"D0502",City of Culver City,67,168.07,39865
"D0502",City of Diamond Bar,35,60.85,57515
"D0502",City of Downey,235,205.67,114263
"D0502",City of Duarte,76,345.2,22016
"D0502",City of El Monte,175,149.23,117269
"D0502",City of El Segundo,28,166.81,16786
"D0502",City of Gardena,165,269.12,61310
"D0502",City of Glendale,612,296.38,206493
"D0502",City of Glendora,46,87.18,52764
"D0502",City of Hawaiian Gardens,10,68.14,14676
"D0502",City of Hawthorne,204,229.76,88787
"D0502",City of Hermosa Beach,24,122.01,19670
"D0502",City of Hidden Hills,0,0,1890
"D0502",City of Huntington Park,164,275.7,59484
"D0502",City of Industry,1,228.83,437
"D0502",City of Inglewood,348,306.39,113582
"D0502",City of Irwindale,2,137.08,1459
"D0502",City of La Canada Flintridge,36,173.97,20693
"D0502",City of La Habra Heights,3,55,5455
"D0502",City of La Mirada,66,133.07,49599
"D0502",City of La Puente,43,105.66,40697
"D0502",City of La Verne,16,48.07,33282
"D0502",City of Lakewood,85,105.77,80362
"D0502",City of Lancaster,338,209.2,161570
"D0502",City of Lawndale,60,178.5,33614
"D0502",City of Lomita,35,168.85,20729
"D0502",City of Lynwood,204,283.15,72047
"D0502",City of Malibu,31,239.18,12961
"D0502",City of Manhattan Beach,66,183.34,35999
"D0502",City of Maywood,70,249.56,28049
"D0502",City of Monrovia,53,136.6,38800
"D0502",City of Montebello,149,231.46,64375
"D0502",City of Monterey Park,80,128.49,62262
"D0502",City of Norwalk,203,188.62,107622
"D0502",City of Palmdale,438,275.53,158968
"D0502",City of Palos Verdes Estates,37,273.63,13522
"D0502",City of Paramount,148,264.18,56023
"D0502",City of Pico Rivera,188,292.45,64284
"D0502",City of Pomona,193,123.77,155931
"D0502",City of Rancho Palos Verdes,61,142.7,42747
"D0502",City of Redondo Beach,110,160.12,68697
"D0502",City of Rolling Hills,2,103.09,1940
"D0502",City of Rolling Hills Estates,13,160.24,8113
"D0502",City of Rosemead,40,72.27,55350
