date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0917",City of Agoura Hills,157,752,1,5,20883
"D0917",City of Alhambra,1222,1409,27,31,86724
"D0917",City of Arcadia,473,819,33,57,57754
"D0917",City of Artesia,354,2108,8,48,16795
"D0917",City of Avalon,6,155,0,0,3869
"D0917",City of Azusa,1487,2972,22,44,50040
"D0917",City of Baldwin Park,2865,3732,83,108,76769
"D0917",City of Bell,1545,4252,41,113,36332
"D0917",City of Bell Gardens,1873,4349,21,49,43071
"D0917",City of Bellflower,2317,2981,60,77,77735
"D0917",City of Beverly Hills,658,1906,12,35,34520
"D0917",City of Bradbury,14,1310,0,0,1069
"D0917",City of Burbank,1451,1354,57,53,107180
"D0917",City of Calabasas,258,1061,12,49,24323
"D0917",City of Carson,1792,1910,59,63,93846
"D0917",City of Cerritos,551,1101,16,32,50067
"D0917",City of Claremont,369,1011,10,27,36484
"D0917",City of Commerce,563,4308,11,84,13069
"D0917",City of Compton,3933,3937,69,69,99904
"D0917",City of Covina,1342,2737,37,75,49032
"D0917",City of Cudahy,1064,4370,15,62,24347
"D0917",City of Culver City,379,951,29,73,39865
"D0917",City of Diamond Bar,536,932,9,16,57515
"D0917",City of Downey,3959,3465,83,73,114263
"D0917",City of Duarte,537,2439,29,132,22016
"D0917",City of El Monte,4242,3617,156,133,117269
"D0917",City of El Segundo,129,768,1,6,16786
"D0917",City of Gardena,1218,1987,48,78,61310
"D0917",City of Glendale,3502,1696,172,83,206493
"D0917",City of Glendora,1220,2312,67,127,52764
"D0917",City of Hawaiian Gardens,524,3570,2,14,14676
"D0917",City of Hawthorne,1903,2143,42,47,88787
"D0917",City of Hermosa Beach,205,1042,4,20,19670
"D0917",City of Hidden Hills,6,317,0,0,1890
"D0917",City of Huntington Park,2817,4736,54,91,59484
"D0917",City of Industry,36,8238,2,458,437
"D0917",City of Inglewood,2798,2463,87,77,113582
"D0917",City of Irwindale,69,4729,2,137,1459
"D0917",City of La Canada Flintridge,176,851,7,34,20693
"D0917",City of La Habra Heights,42,770,0,0,5455
"D0917",City of La Mirada,826,1665,26,52,49599
"D0917",City of La Puente,1456,3578,18,44,40697
"D0917",City of La Verne,447,1343,10,30,33282
"D0917",City of Lakewood,1246,1550,14,17,80362
"D0917",City of Lancaster,3239,2005,48,30,161570
"D0917",City of Lawndale,620,1844,10,30,33614
"D0917",City of Lomita,237,1143,9,43,20729
"D0917",City of Lynwood,3180,4414,97,135,72047
"D0917",City of Malibu,101,779,3,23,12961
"D0917",City of Manhattan Beach,348,967,5,14,35999
"D0917",City of Maywood,1400,4991,33,118,28049
"D0917",City of Monrovia,729,1879,38,98,38800
"D0917",City of Montebello,2250,3495,48,75,64375
"D0917",City of Monterey Park,942,1513,48,77,62262
"D0917",City of Norwalk,3155,2932,75,70,107622
"D0917",City of Palmdale,3954,2487,69,43,158968
"D0917",City of Palos Verdes Estates,93,688,2,15,13522
"D0917",City of Paramount,2332,4163,28,50,56023
"D0917",City of Pico Rivera,2355,3663,73,114,64284
"D0917",City of Pomona,5290,3393,120,77,155931
"D0917",City of Rancho Palos Verdes,288,674,13,30,42747
