date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0611",City of Agoura Hills,37,177.18,1,4.79,20883
"D0611",City of Alhambra,276,318.25,9,10.38,86724
"D0611",City of Arcadia,105,181.81,6,10.39,57754
"D0611",City of Artesia,55,327.48,1,5.95,16795
"D0611",City of Avalon,0,0,0,0,3869
"D0611",City of Azusa,256,511.59,5,9.99,50040
"D0611",City of Baldwin Park,464,604.41,7,9.12,76769
"D0611",City of Bell,468,1288.12,22,60.55,36332
"D0611",City of Bell Gardens,429,996.03,11,25.54,43071
"D0611",City of Bellflower,527,677.94,23,29.59,77735
"D0611",City of Beverly Hills,158,457.71,6,17.38,34520
"D0611",City of Bradbury,4,374.18,0,0,1069
"D0611",City of Burbank,436,406.79,42,39.19,107180
"D0611",City of Calabasas,98,402.91,10,41.11,24323
"D0611",City of Carson,518,551.97,26,27.7,93846
"D0611",City of Cerritos,151,301.6,3,5.99,50067
"D0611",City of Claremont,68,186.38,2,5.48,36484
"D0611",City of Commerce,119,910.55,1,7.65,13069
"D0611",City of Compton,894,894.86,19,19.02,99904
"D0611",City of Covina,237,483.36,7,14.28,49032
"D0611",City of Cudahy,334,1371.83,8,32.86,24347
"D0611",City of Culver City,168,421.42,24,60.2,39865
"D0611",City of Diamond Bar,87,151.26,1,1.74,57515
"D0611",City of Downey,993,869.05,33,28.88,114263
"D0611",City of Duarte,144,654.07,17,77.22,22016
"D0611",City of El Monte,846,721.42,34,28.99,117269
"D0611",City of El Segundo,38,226.38,0,0,16786
"D0611",City of Gardena,339,552.93,28,45.67,61310
"D0611",City of Glendale,1101,533.19,96,46.49,206493
"D0611",City of Glendora,179,339.25,9,17.06,52764
"D0611",City of Hawaiian Gardens,109,742.71,1,6.81,14676
"D0611",City of Hawthorne,510,574.41,20,22.53,88787
"D0611",City of Hermosa Beach,41,208.44,2,10.17,19670
"D0611",City of Hidden Hills,3,158.73,0,0,1890
"D0611",City of Huntington Park,732,1230.58,14,23.54,59484
"D0611",City of Industry,12,2746,2,457.67,437
"D0611",City of Inglewood,738,649.75,58,51.06,113582
"D0611",City of Irwindale,5,342.7,0,0,1459
"D0611",City of La Canada Flintridge,56,270.62,6,29,20693
"D0611",City of La Habra Heights,12,219.98,0,0,5455
"D0611",City of La Mirada,224,451.62,19,38.31,49599
"D0611",City of La Puente,212,520.92,2,4.91,40697
"D0611",City of La Verne,41,123.19,2,6.01,33282
"D0611",City of Lakewood,263,327.27,7,8.71,80362
"D0611",City of Lancaster,734,454.29,12,7.43,161570
"D0611",City of Lawndale,154,458.14,6,17.85,33614
