date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0921",City of Agoura Hills,158,757,1,5,20883
"D0921",City of Alhambra,1225,1413,27,31,86724
"D0921",City of Arcadia,479,829,33,57,57754
"D0921",City of Artesia,361,2149,8,48,16795
"D0921",City of Avalon,6,155,0,0,3869
"D0921",City of Azusa,1498,2994,22,44,50040
"D0921",City of Baldwin Park,2892,3767,83,108,76769
"D0921",City of Bell,1563,4302,41,113,36332
"D0921",City of Bell Gardens,1896,4402,21,49,43071
"D0921",City of Bellflower,2345,3017,61,78,77735
"D0921",City of Beverly Hills,667,1932,12,35,34520
"D0921",City of Bradbury,14,1310,0,0,1069
"D0921",City of Burbank,1489,1389,57,53,107180
"D0921",City of Calabasas,261,1073,12,49,24323
"D0921",City of Carson,1814,1933,60,64,93846
"D0921",City of Cerritos,556,1111,16,32,50067
"D0921",City of Claremont,379,1039,10,27,36484
"D0921",City of Commerce,572,4377,11,84,13069
"D0921",City of Compton,3975,3979,69,69,99904
"D0921",City of Covina,1357,2768,38,78,49032
"D0921",City of Cudahy,1070,4395,15,62,24347
"D0921",City of Culver City,383,961,29,73,39865
"D0921",City of Diamond Bar,541,941,9,16,57515
"D0921",City of Downey,4026,3523,85,74,114263
"D0921",City of Duarte,542,2462,29,132,22016
"D0921",City of El Monte,4277,3647,157,134,117269
"D0921",City of El Segundo,130,774,1,6,16786
"D0921",City of Gardena,1225,1998,48,78,61310
"D0921",City of Glendale,3567,1727,174,84,206493
"D0921",City of Glendora,1235,2341,70,133,52764
"D0921",City of Hawaiian Gardens,529,3605,2,14,14676
"D0921",City of Hawthorne,1918,2160,43,48,88787
"D0921",City of Hermosa Beach,206,1047,4,20,19670
"D0921",City of Hidden Hills,7,370,0,0,1890
"D0921",City of Huntington Park,2853,4796,54,91,59484
"D0921",City of Industry,36,8238,2,458,437
"D0921",City of Inglewood,2808,2472,89,78,113582
"D0921",City of Irwindale,69,4729,2,137,1459
"D0921",City of La Canada Flintridge,178,860,7,34,20693
"D0921",City of La Habra Heights,42,770,0,0,5455
"D0921",City of La Mirada,830,1673,26,52,49599
"D0921",City of La Puente,1467,3605,18,44,40697
"D0921",City of La Verne,458,1376,11,33,33282
"D0921",City of Lakewood,1257,1564,14,17,80362
"D0921",City of Lancaster,3277,2028,50,31,161570
"D0921",City of Lawndale,624,1856,10,30,33614
"D0921",City of Lomita,239,1153,9,43,20729
"D0921",City of Lynwood,3215,4462,97,135,72047
"D0921",City of Malibu,101,779,3,23,12961
"D0921",City of Manhattan Beach,354,983,5,14,35999
"D0921",City of Maywood,1419,5059,33,118,28049
"D0921",City of Monrovia,738,1902,38,98,38800
"D0921",City of Montebello,2269,3525,48,75,64375
"D0921",City of Monterey Park,945,1518,47,75,62262
"D0921",City of Norwalk,3191,2965,75,70,107622
"D0921",City of Palmdale,4003,2518,69,43,158968
"D0921",City of Palos Verdes Estates,95,703,2,15,13522
"D0921",City of Paramount,2348,4191,28,50,56023
"D0921",City of Pico Rivera,2389,3716,73,114,64284
"D0921",City of Pomona,5356,3435,123,79,155931
"D0921",City of Rancho Palos Verdes,293,685,13,30,42747
"D0921",City of Redondo Beach,546,795,11,16,68697
"D0921",City of Rolling Hills,11,567,0,0,1940
"D0921",City of Rolling Hills Estates,41,505,2,25,8113
"D0921",City of Rosemead,818,1478,28,51,55350
"D0921",City of San Dimas,517,1498,14,41,34516
"D0921",City of San Fernando,898,3649,18,73,24612
"D0921",City of San Gabriel,626,1529,58,142,40954
"D0921",City of San Marino,87,655,2,15,13277
"D0921",City of Santa Clarita,3341,1516,47,21,220424
"D0921",City of Santa Fe Springs,555,3022,4,22,18364
"D0921",City of Santa Monica,853,923,41,44,92446
