date,name,Cases,Case Rate,Deaths,Death Rate,population
"D0601",City of Agoura Hills,35,167.6,1,4.79,20883
"D0601",City of Alhambra,226,260.6,8,9.22,86724
"D0601",City of Arcadia,91,157.56,5,8.66,57754
"D0601",City of Artesia,41,244.12,0,0,16795
"D0601",City of Avalon,0,0,0,0,3869
"D0601",City of Azusa,189,377.7,5,9.99,50040
"D0601",City of Baldwin Park,367,478.06,6,7.82,76769
"D0601",City of Bell,350,963.34,23,63.31,36332
"D0601",City of Bell Gardens,335,777.79,10,23.22,43071
"D0601",City of Bellflower,427,549.3,19,24.44,77735
"D0601",City of Beverly Hills,139,402.67,5,14.48,34520
"D0601",City of Bradbury,4,374.18,0,0,1069
"D0601",City of Burbank,405,377.87,39,36.39,107180
"D0601",City of Calabasas,84,345.35,10,41.11,24323
"D0601",City of Carson,435,463.53,25,26.64,93846
"D0601",City of Cerritos,129,257.65,1,2,50067
"D0601",City of Claremont,49,134.31,0,0,36484
"D0601",City of Commerce,79,604.48,0,0,13069
"D0601",City of Compton,652,652.63,15,15.01,99904
"D0601",City of Covina,183,373.23,6,12.24,49032
"D0601",City of Cudahy,265,1088.43,5,20.54,24347
"D0601",City of Culver City,161,403.86,20,50.17,39865
"D0601",City of Diamond Bar,70,121.71,1,1.74,57515
"D0601",City of Downey,766,670.38,23,20.13,114263
"D0601",City of Duarte,129,585.94,15,68.13,22016
"D0601",City of El Monte,580,494.59,22,18.76,117269
"D0601",City of El Segundo,36,214.46,0,0,16786
"D0601",City of Gardena,289,471.37,25,40.78,61310
"D0601",City of Glendale,990,479.44,87,42.13,206493
"D0601",City of Glendora,150,284.28,6,11.37,52764
"D0601",City of Hawaiian Gardens,75,511.04,1,6.81,14676
"D0601",City of Hawthorne,417,469.66,15,16.89,88787
"D0601",City of Hermosa Beach,30,152.52,2,10.17,19670
"D0601",City of Hidden Hills,3,158.73,0,0,1890
"D0601",City of Huntington Park,537,902.76,11,18.49,59484
"D0601",City of Industry,12,2746,2,457.67,437
"D0601",City of Inglewood,643,566.11,55,48.42,113582
"D0601",City of Irwindale,4,274.16,0,0,1459
"D0601",City of La Canada Flintridge,51,246.46,5,24.16,20693
"D0601",City of La Habra Heights,9,164.99,0,0,5455
"D0601",City of La Mirada,190,383.07,15,30.24,49599
"D0601",City of La Puente,139,341.55,0,0,40697
"D0601",City of La Verne,32,96.15,1,3,33282
"D0601",City of Lakewood,202,251.36,6,7.47,80362
"D0601",City of Lancaster,627,388.07,12,7.43,161570
"D0601",City of Lawndale,131,389.72,5,14.87,33614
"D0601",City of Lomita,52,250.86,6,28.94,20729
"D0601",City of Lynwood,658,913.29,38,52.74,72047
"D0601",City of Malibu,38,293.19,1,7.72,12961
"D0601",City of Manhattan Beach,80,222.23,3,8.33,35999
"D0601",City of Maywood,312,1112.34,10,35.65,28049
"D0601",City of Monrovia,164,422.68,20,51.55,38800
"D0601",City of Montebello,426,661.75,16,24.85,64375
"D0601",City of Monterey Park,169,271.43,7,11.24,62262
"D0601",City of Norwalk,505,469.23,21,19.51,107622
"D0601",City of Palmdale,776,488.15,17,10.69,158968
"D0601",City of Palos Verdes Estates,42,310.6,1,7.4,13522
"D0601",City of Paramount,369,658.66,8,14.28,56023
"D0601",City of Pico Rivera,547,850.91,28,43.56,64284
"D0601",City of Pomona,538,345.02,13,8.34,155931
"D0601",City of Rancho Palos Verdes,96,224.58,11,25.73,42747
"D0601",City of Redondo Beach,143,208.16,7,10.19,68697
"D0601",City of Rolling Hills,2,103.09,0,0,1940
"D0601",City of Rolling Hills Estates,14,172.56,0,0,8113
"D0601",City of Rosemead,125,225.84,4,7.23,55350
"D0601",City of San Dimas,63,182.52,1,2.9,34516
"D0601",City of San Fernando,195,792.3,7,28.44,24612
"D0601",City of San Gabriel,141,344.29,14,34.18,40954
"D0601",City of San Marino,23,173.23,1,7.53,13277
"D0601",City of Santa Clarita,785,356.13,16,7.26,220424
"D0601",City of Santa Fe Springs,73,397.52,0,0,18364
"D0601",City of Santa Monica,284,307.21,19,20.55,92446
"D0601",City of Sierra Madre,12,109.2,0,0,10989
"D0601",City of Signal Hill,37,313.64,0,0,11797
"D0601",City of South El Monte,95,454.87,2,9.58,20885
"D0601",City of South Gate,687,699.91,17,17.32,98155
"D0601",City of South Pasadena,129,495.14,20,76.77,26053
"D0601",City of Temple City,166,455.36,22,60.35,36455
"D0601",City of Torrance,398,266.63,45,30.15,149268
"D0601",City of Vernon,4,1913.88,0,0,209
"D0601",City of Walnut,50,163.76,1,3.28,30532
"D0601",City of West Covina,383,353.86,8,7.39,108235
"D0601",City of West Hollywood,188,508.78,4,10.83,36951
"D0601",City of Westlake Village,6,71.77,0,0,8360
"D0601",City of Whittier,336,384.3,10,11.44,87432
"D0601",Los Angeles,26738,661.08,1190,29.42
