date,name,Cases,Case Rate,population
"D0416",City of Agoura Hills,22,105.35,20883
"D0416",City of Alhambra,40,46.12,86724
"D0416",City of Arcadia,27,46.75,57754
"D0416",City of Artesia,10,59.54,16795
"D0416",City of Avalon,0,0,3869
"D0416",City of Azusa,22,43.96,50040
"D0416",City of Baldwin Park,37,48.2,76769
"D0416",City of Bell,75,206.43,36332
"D0416",City of Bell Gardens,46,106.8,43071
"D0416",City of Bellflower,61,78.47,77735
"D0416",City of Beverly Hills,78,225.96,34520
"D0416",City of Bradbury,--,--,1069
"D0416",City of Burbank,121,112.89,107180
"D0416",City of Calabasas,26,106.89,24323
"D0416",City of Carson,143,152.38,93846
"D0416",City of Cerritos,35,69.91,50067
"D0416",City of Claremont,14,38.37,36484
"D0416",City of Commerce,5,38.26,13069
"D0416",City of Compton,83,83.08,99904
"D0416",City of Covina,57,116.25,49032
"D0416",City of Cudahy,26,106.79,24347
"D0416",City of Culver City,36,90.3,39865
"D0416",City of Diamond Bar,22,38.25,57515
"D0416",City of Downey,118,103.27,114263
"D0416",City of Duarte,20,90.84,22016
"D0416",City of El Monte,47,40.08,117269
"D0416",City of El Segundo,12,71.49,16786
"D0416",City of Gardena,93,151.69,61310
"D0416",City of Glendale,310,150.13,206493
"D0416",City of Glendora,29,54.96,52764
"D0416",City of Hawaiian Gardens,--,--,14676
"D0416",City of Hawthorne,89,100.24,88787
"D0416",City of Hermosa Beach,18,91.51,19670
"D0416",City of Hidden Hills,0,0,1890
"D0416",City of Huntington Park,52,87.42,59484
"D0416",City of Industry,--,--,437
"D0416",City of Inglewood,145,127.66,113582
"D0416",City of Irwindale,0,0,1459
"D0416",City of La Canada Flintridge,26,125.65,20693
"D0416",City of La Habra Heights,--,--,5455
"D0416",City of La Mirada,26,52.42,49599
"D0416",City of La Puente,21,51.6,40697
"D0416",City of La Verne,11,33.05,33282
"D0416",City of Lakewood,46,57.24,80362
"D0416",City of Lancaster,102,63.13,161570
"D0416",City of Lawndale,33,98.17,33614
"D0416",City of Lomita,24,115.78,20729
"D0416",City of Lynwood,95,131.86,72047
"D0416",City of Malibu,20,154.31,12961
"D0416",City of Manhattan Beach,57,158.34,35999
"D0416",City of Maywood,35,124.78,28049
"D0416",City of Monrovia,15,38.66,38800
"D0416",City of Montebello,69,107.18,64375
"D0416",City of Monterey Park,38,61.03,62262
"D0416",City of Norwalk,93,86.41,107622
"D0416",City of Palmdale,131,82.41,158968
"D0416",City of Palos Verdes Estates,36,266.23,13522
"D0416",City of Paramount,54,96.39,56023
"D0416",City of Pico Rivera,77,119.78,64284
"D0416",City of Pomona,68,43.61,155931
"D0416",City of Rancho Palos Verdes,46,107.61,42747
"D0416",City of Redondo Beach,84,122.28,68697
"D0416",City of Rolling Hills,--,--,1940
"D0416",City of Rolling Hills Estates,12,147.91,8113
"D0416",City of Rosemead,16,28.91,55350
"D0416",City of San Dimas,18,52.15,34516
"D0416",City of San Fernando,29,117.83,24612
"D0416",City of San Gabriel,15,36.63,40954
"D0416",City of San Marino,8,60.25,13277
"D0416",City of Santa Clarita,188,85.29,220424
"D0416",City of Santa Fe Springs,11,59.9,18364
"D0416",City of Santa Monica,107,115.74,92446
"D0416",City of Sierra Madre,--,--,10989
"D0416",City of Signal Hill,5,42.38,11797
"D0416",City of South El Monte,--,--,20885
"D0416",City of South Gate,123,125.31,98155
"D0416",City of South Pasadena,21,80.6,26053
"D0416",City of Temple City,24,65.83,36455
"D0416",City of Torrance,181,121.26,149268
"D0416",City of Vernon,0,0,209
"D0416",City of Walnut,15,49.13,30532
"D0416",City of West Covina,56,51.74,108235
"D0416",City of West Hollywood,107,289.57,36951
"D0416",City of Westlake Village,6,71.77,8360
"D0416",City of Whittier,64,73.2,87432
"D0416",Los Angeles,5093,125.92
"D0416",Los Angeles - Adams-Normandie,16,195.07,8202
"D0416",Los Angeles - Alsace,7,56.25,12445
"D0416",Los Angeles - Angelino Heights,--,--,2502
"D0416",Los Angeles - Arleta,40,116.38,34370
"D0416",Los Angeles - Atwater Village,10,68.18,14666
"D0416",Los Angeles - Baldwin Hills,38,122.09,31125
"D0416",Los Angeles - Bel Air,22,261,8429
"D0416",Los Angeles - Beverly Crest,26,207.58,12525
"D0416",Los Angeles - Beverlywood,23,174.6,13173
"D0416",Los Angeles - Boyle Heights,65,74.81,86884
"D0416",Los Angeles - Brentwood,58,187.37,30955
"D0416",Los Angeles - Brookside,0,0,581
"D0416",Los Angeles - Cadillac-Corning,8,112.34,7121
"D0416",Los Angeles - Canoga Park,99,151.63,65289
"D0416",Los Angeles - Carthay,41,285.46,14363
"D0416",Los Angeles - Central,55,141.05,38992
"D0416",Los Angeles - Century City,26,203.25,12792
"D0416",Los Angeles - Century Palms/Cove,33,97.73,33766
"D0416",Los Angeles - Chatsworth,42,113.33,37061
"D0416",Los Angeles - Cheviot Hills,12,130.85,9171
"D0416",Los Angeles - Chinatown,--,--,8021
"D0416",Los Angeles - Cloverdale/Cochran,13,89.33,14553
"D0416",Los Angeles - Country Club Park,30,197.98,15153
"D0416",Los Angeles - Crenshaw District,23,166.32,13829
