date,name,Cases,Case Rate,Deaths,Death Rate,population
"D1007",City of Agoura Hills,192,919,4,19,20883
"D1007",City of Alhambra,1327,1530,29,33,86724
"D1007",City of Arcadia,544,942,35,61,57754
"D1007",City of Artesia,389,2316,10,60,16795
"D1007",City of Avalon,5,129,0,0,3869
"D1007",City of Azusa,1604,3205,23,46,50040
"D1007",City of Baldwin Park,3120,4064,91,119,76769
"D1007",City of Bell,1662,4574,41,113,36332
"D1007",City of Bell Gardens,2061,4785,24,56,43071
"D1007",City of Bellflower,2476,3185,61,78,77735
"D1007",City of Beverly Hills,713,2065,12,35,34520
"D1007",City of Bradbury,14,1310,0,0,1069
"D1007",City of Burbank,1672,1560,62,58,107180
"D1007",City of Calabasas,281,1155,12,49,24323
"D1007",City of Carson,1903,2028,63,67,93846
"D1007",City of Cerritos,599,1196,17,34,50067
"D1007",City of Claremont,407,1116,10,27,36484
"D1007",City of Commerce,600,4591,12,92,13069
"D1007",City of Compton,4173,4177,73,73,99904
"D1007",City of Covina,1465,2988,48,98,49032
"D1007",City of Cudahy,1139,4678,18,74,24347
"D1007",City of Culver City,402,1008,29,73,39865
"D1007",City of Diamond Bar,570,991,10,17,57515
"D1007",City of Downey,4297,3761,88,77,114263
"D1007",City of Duarte,593,2693,30,136,22016
"D1007",City of El Monte,4538,3870,165,141,117269
"D1007",City of El Segundo,134,798,1,6,16786
"D1007",City of Gardena,1292,2107,54,88,61310
"D1007",City of Glendale,3988,1931,179,87,206493
"D1007",City of Glendora,1283,2432,73,138,52764
"D1007",City of Hawaiian Gardens,542,3693,2,14,14676
"D1007",City of Hawthorne,2004,2257,47,53,88787
"D1007",City of Hermosa Beach,229,1164,4,20,19670
"D1007",City of Hidden Hills,10,529,0,0,1890
"D1007",City of Huntington Park,3034,5101,61,103,59484
"D1007",City of Industry,36,8238,2,458,437
"D1007",City of Inglewood,2989,2632,91,80,113582
"D1007",City of Irwindale,73,5003,2,137,1459
"D1007",City of La Canada Flintridge,185,894,7,34,20693
"D1007",City of La Habra Heights,45,825,0,0,5455
"D1007",City of La Mirada,878,1770,26,52,49599
"D1007",City of La Puente,1591,3909,23,57,40697
"D1007",City of La Verne,512,1538,13,39,33282
"D1007",City of Lakewood,1355,1686,15,19,80362
"D1007",City of Lancaster,3689,2283,62,38,161570
"D1007",City of Lawndale,654,1946,13,39,33614
"D1007",City of Lomita,244,1177,9,43,20729
"D1007",City of Lynwood,3444,4780,102,142,72047
"D1007",City of Malibu,104,802,3,23,12961
"D1007",City of Manhattan Beach,375,1042,5,14,35999
"D1007",City of Maywood,1490,5312,34,121,28049
"D1007",City of Monrovia,785,2023,41,106,38800
"D1007",City of Montebello,2397,3723,53,82,64375
"D1007",City of Monterey Park,997,1601,48,77,62262
"D1007",City of Norwalk,3405,3164,80,74,107622
"D1007",City of Palmdale,4390,2762,76,48,158968
"D1007",City of Palos Verdes Estates,104,769,2,15,13522
"D1007",City of Paramount,2489,4443,30,54,56023
"D1007",City of Pico Rivera,2527,3931,77,120,64284
"D1007",City of Pomona,5726,3672,137,88,155931
"D1007",City of Rancho Palos Verdes,317,742,13,30,42747
"D1007",City of Redondo Beach,584,850,11,16,68697
"D1007",City of Rolling Hills,12,619,0,0,1940
"D1007",City of Rolling Hills Estates,44,542,2,25,8113
"D1007",City of Rosemead,853,1541,32,58,55350
"D1007",City of San Dimas,551,1596,14,41,34516
"D1007",City of San Fernando,1000,4063,19,77,24612
"D1007",City of San Gabriel,665,1624,65,159,40954
"D1007",City of San Marino,93,700,2,15,13277
"D1007",City of Santa Clarita,3712,1684,55,25,220424
"D1007",City of Santa Fe Springs,587,3196,4,22,18364
"D1007",City of Santa Monica,927,1003,40,43,92446
"D1007",City of Sierra Madre,80,728,3,27,10989
"D1007",City of Signal Hill,287,2433,3,25,11797
"D1007",City of South El Monte,829,3969,16,77,20885
"D1007",City of South Gate,4610,4697,71,72,98155
"D1007",City of South Pasadena,296,1136,26,100,26053
"D1007",City of Temple City,541,1484,41,112,36455
"D1007",City of Torrance,1495,1002,72,48,149268
"D1007",City of Vernon,12,5742,0,0,209
"D1007",City of Walnut,289,947,4,13,30532
"D1007",City of West Covina,2999,2771,66,61,108235
"D1007",City of West Hollywood,598,1618,5,14,36951
"D1007",City of Westlake Village,37,443,0,0,8360
"D1007",City of Whittier,2364,2704,37,42,87432
"D1007",Los Angeles,113373,2803,2835,70
"D1007",Los Angeles - Adams-Normandie,278,3389,4,49,8202
"D1007",Los Angeles - Alsace,384,3086,3,24,12445
"D1007",Los Angeles - Angeles National Forest,2,5000,0,0,40
"D1007",Los Angeles - Angelino Heights,77,3078,1,40,2502
"D1007",Los Angeles - Arleta,1521,4425,26,76,34370
"D1007",Los Angeles - Atwater Village,242,1650,7,48,14666
"D1007",Los Angeles - Baldwin Hills,636,2043,29,93,31125
"D1007",Los Angeles - Bel Air,98,1163,0,0,8429
"D1007",Los Angeles - Beverly Crest,135,1078,2,16,12525
"D1007",Los Angeles - Beverlywood,169,1283,0,0,13173
"D1007",Los Angeles - Boyle Heights,4424,5092,70,81,86884
"D1007",Los Angeles - Brentwood,305,985,3,10,30955
"D1007",Los Angeles - Brookside,4,688,0,0,581
"D1007",Los Angeles - Cadillac-Corning,135,1896,1,14,7121
"D1007",Los Angeles - Canoga Park,1989,3046,58,89,65289
"D1007",Los Angeles - Carthay,227,1580,16,111,14363
"D1007",Los Angeles - Central,2228,5714,42,108,38992
"D1007",Los Angeles - Century City,121,946,0,0,12792
"D1007",Los Angeles - Century Palms/Cove,1531,4534,22,65,33766
"D1007",Los Angeles - Chatsworth,704,1900,36,97,37061
"D1007",Los Angeles - Cheviot Hills,84,916,3,33,9171
"D1007",Los Angeles - Chinatown,126,1571,3,37,8021
"D1007",Los Angeles - Cloverdale/Cochran,309,2123,5,34,14553
"D1007",Los Angeles - Country Club Park,393,2594,28,185,15153
"D1007",Los Angeles - Crenshaw District,312,2256,4,29,13829
"D1007",Los Angeles - Crestview,200,1759,20,176,11368
"D1007",Los Angeles - Del Rey,368,1229,10,33,29936
"D1007",Los Angeles - Downtown,852,3097,16,58,27507
"D1007",Los Angeles - Eagle Rock,694,1753,26,66,39589
"D1007",Los Angeles - East Hollywood,653,2230,44,150,29287
"D1007",Los Angeles - Echo Park,265,1859,5,35,14256
"D1007",Los Angeles - El Sereno,1304,3119,34,81,41808
"D1007",Los Angeles - Elysian Park,102,1786,0,0,5712
"D1007",Los Angeles - Elysian Valley,276,2714,3,29,10171
"D1007",Los Angeles - Encino,652,1443,18,40,45172
"D1007",Los Angeles - Exposition,81,2435,2,60,3326
"D1007",Los Angeles - Exposition Park,1383,3079,23,51,44917
"D1007",Los Angeles - Faircrest Heights,38,1056,2,56,3600
"D1007",Los Angeles - Figueroa Park Square,318,3646,4,46,8721
