date,name,Cases,Case Rate,population
"D0419",City of Agoura Hills,26,124.5,20883
"D0419",City of Alhambra,47,54.19,86724
"D0419",City of Arcadia,30,51.94,57754
"D0419",City of Artesia,10,59.54,16795
"D0419",City of Avalon,0,0,3869
"D0419",City of Azusa,23,45.96,50040
"D0419",City of Baldwin Park,44,57.31,76769
"D0419",City of Bell,93,255.97,36332
"D0419",City of Bell Gardens,58,134.66,43071
"D0419",City of Bellflower,74,95.2,77735
"D0419",City of Beverly Hills,94,272.31,34520
"D0419",City of Bradbury,--,--,1069
"D0419",City of Burbank,141,131.55,107180
"D0419",City of Calabasas,29,119.23,24323
"D0419",City of Carson,163,173.69,93846
"D0419",City of Cerritos,40,79.89,50067
"D0419",City of Claremont,16,43.85,36484
"D0419",City of Commerce,7,53.56,13069
"D0419",City of Compton,115,115.11,99904
"D0419",City of Covina,63,128.49,49032
"D0419",City of Cudahy,30,123.22,24347
"D0419",City of Culver City,40,100.34,39865
"D0419",City of Diamond Bar,24,41.73,57515
"D0419",City of Downey,137,119.9,114263
"D0419",City of Duarte,32,145.35,22016
"D0419",City of El Monte,61,52.02,117269
"D0419",City of El Segundo,20,119.15,16786
"D0419",City of Gardena,107,174.52,61310
"D0419",City of Glendale,339,164.17,206493
"D0419",City of Glendora,33,62.54,52764
"D0419",City of Hawaiian Gardens,6,40.88,14676
"D0419",City of Hawthorne,106,119.39,88787
"D0419",City of Hermosa Beach,21,106.76,19670
"D0419",City of Hidden Hills,0,0,1890
"D0419",City of Huntington Park,78,131.13,59484
"D0419",City of Industry,--,--,437
"D0419",City of Inglewood,177,155.83,113582
"D0419",City of Irwindale,--,--,1459
"D0419",City of La Canada Flintridge,30,144.98,20693
"D0419",City of La Habra Heights,--,--,5455
"D0419",City of La Mirada,37,74.6,49599
"D0419",City of La Puente,22,54.06,40697
"D0419",City of La Verne,12,36.06,33282
"D0419",City of Lakewood,56,69.68,80362
"D0419",City of Lancaster,132,81.7,161570
"D0419",City of Lawndale,36,107.1,33614
"D0419",City of Lomita,27,130.25,20729
"D0419",City of Lynwood,103,142.96,72047
"D0419",City of Malibu,23,177.46,12961
"D0419",City of Manhattan Beach,59,163.89,35999
"D0419",City of Maywood,42,149.74,28049
"D0419",City of Monrovia,20,51.55,38800
"D0419",City of Montebello,80,124.27,64375
"D0419",City of Monterey Park,43,69.06,62262
"D0419",City of Norwalk,114,105.93,107622
"D0419",City of Palmdale,192,120.78,158968
"D0419",City of Palos Verdes Estates,36,266.23,13522
"D0419",City of Paramount,80,142.8,56023
"D0419",City of Pico Rivera,94,146.23,64284
"D0419",City of Pomona,82,52.59,155931
"D0419",City of Rancho Palos Verdes,49,114.63,42747
"D0419",City of Redondo Beach,91,132.47,68697
"D0419",City of Rolling Hills,--,--,1940
"D0419",City of Rolling Hills Estates,13,160.24,8113
"D0419",City of Rosemead,17,30.71,55350
"D0419",City of San Dimas,23,66.64,34516
"D0419",City of San Fernando,39,158.46,24612
"D0419",City of San Gabriel,19,46.39,40954
"D0419",City of San Marino,8,60.25,13277
"D0419",City of Santa Clarita,221,100.26,220424
"D0419",City of Santa Fe Springs,14,76.24,18364
"D0419",City of Santa Monica,124,134.13,92446
"D0419",City of Sierra Madre,--,--,10989
"D0419",City of Signal Hill,5,42.38,11797
"D0419",City of South El Monte,5,23.94,20885
"D0419",City of South Gate,154,156.89,98155
"D0419",City of South Pasadena,30,115.15,26053
"D0419",City of Temple City,24,65.83,36455
"D0419",City of Torrance,204,136.67,149268
"D0419",City of Vernon,0,0,209
"D0419",City of Walnut,16,52.4,30532
"D0419",City of West Covina,62,57.28,108235
"D0419",City of West Hollywood,114,308.52,36951
"D0419",City of Westlake Village,6,71.77,8360
"D0419",City of Whittier,71,81.21,87432
"D0419",Los Angeles,6224,153.88
"D0419",Los Angeles - Adams-Normandie,16,195.07,8202
"D0419",Los Angeles - Alsace,12,96.42,12445
"D0419",Los Angeles - Angelino Heights,--,--,2502
"D0419",Los Angeles - Arleta,51,148.39,34370
"D0419",Los Angeles - Atwater Village,16,109.1,14666
"D0419",Los Angeles - Baldwin Hills,41,131.73,31125
"D0419",Los Angeles - Bel Air,25,296.6,8429
"D0419",Los Angeles - Beverly Crest,31,247.5,12525
"D0419",Los Angeles - Beverlywood,28,212.56,13173
"D0419",Los Angeles - Boyle Heights,97,111.64,86884
"D0419",Los Angeles - Brentwood,59,190.6,30955
"D0419",Los Angeles - Brookside,0,0,581
"D0419",Los Angeles - Cadillac-Corning,9,126.39,7121
"D0419",Los Angeles - Canoga Park,123,188.39,65289
"D0419",Los Angeles - Carthay,52,362.04,14363
"D0419",Los Angeles - Central,63,161.57,38992
"D0419",Los Angeles - Century City,28,218.89,12792
"D0419",Los Angeles - Century Palms/Cove,46,136.23,33766
"D0419",Los Angeles - Chatsworth,48,129.52,37061
"D0419",Los Angeles - Cheviot Hills,13,141.75,9171
"D0419",Los Angeles - Chinatown,--,--,8021
"D0419",Los Angeles - Cloverdale/Cochran,17,116.81,14553
"D0419",Los Angeles - Country Club Park,33,217.78,15153
"D0419",Los Angeles - Crenshaw District,35,253.09,13829
