date,name,Cases,Case Rate,Deaths,Death Rate,population
"D1201",City of Agoura Hills,304,1456,7,34,20883
"D1201",City of Alhambra,1984,2288,35,40,86724
"D1201",City of Arcadia,841,1456,46,80,57754
"D1201",City of Artesia,614,3656,13,77,16795
"D1201",City of Avalon,5,129,0,0,3869
"D1201",City of Azusa,2250,4496,28,56,50040
"D1201",City of Baldwin Park,4557,5936,111,145,76769
"D1201",City of Bell,2291,6306,47,129,36332
"D1201",City of Bell Gardens,2979,6916,32,74,43071
"D1201",City of Bellflower,3488,4487,66,85,77735
"D1201",City of Beverly Hills,1019,2952,11,32,34520
"D1201",City of Bradbury,27,2526,0,0,1069
"D1201",City of Burbank,2832,2642,94,88,107180
"D1201",City of Calabasas,441,1813,14,58,24323
"D1201",City of Carson,2805,2989,67,71,93846
"D1201",City of Cerritos,877,1752,17,34,50067
"D1201",City of Claremont,730,2001,10,27,36484
"D1201",City of Commerce,909,6955,14,107,13069
"D1201",City of Compton,5854,5860,82,82,99904
"D1201",City of Covina,2123,4330,61,124,49032
"D1201",City of Cudahy,1656,6802,19,78,24347
"D1201",City of Culver City,659,1653,31,78,39865
"D1201",City of Diamond Bar,981,1706,16,28,57515
"D1201",City of Downey,6311,5523,100,88,114263
"D1201",City of Duarte,823,3738,36,164,22016
"D1201",City of El Monte,6441,5493,184,157,117269
"D1201",City of El Segundo,198,1180,1,6,16786
"D1201",City of Gardena,1790,2920,59,96,61310
"D1201",City of Glendale,6473,3135,196,95,206493
"D1201",City of Glendora,1801,3413,80,152,52764
"D1201",City of Hawaiian Gardens,762,5192,3,20,14676
"D1201",City of Hawthorne,3029,3412,55,62,88787
"D1201",City of Hermosa Beach,359,1825,4,20,19670
"D1201",City of Hidden Hills,29,1534,0,0,1890
"D1201",City of Huntington Park,4096,6886,67,113,59484
"D1201",City of Industry,53,12128,2,458,437
"D1201",City of Inglewood,4288,3775,95,84,113582
"D1201",City of Irwindale,100,6854,2,137,1459
"D1201",City of La Canada Flintridge,268,1295,6,29,20693
"D1201",City of La Habra Heights,69,1265,1,18,5455
"D1201",City of La Mirada,1348,2718,28,56,49599
"D1201",City of La Puente,2342,5755,28,69,40697
"D1201",City of La Verne,871,2617,15,45,33282
"D1201",City of Lakewood,2006,2496,15,19,80362
"D1201",City of Lancaster,6635,4107,77,48,161570
"D1201",City of Lawndale,1033,3073,13,39,33614
"D1201",City of Lomita,338,1631,10,48,20729
"D1201",City of Lynwood,4818,6687,113,157,72047
"D1201",City of Malibu,162,1250,3,23,12961
"D1201",City of Manhattan Beach,546,1517,5,14,35999
"D1201",City of Maywood,1934,6895,39,139,28049
"D1201",City of Monrovia,1146,2954,40,103,38800
"D1201",City of Montebello,3565,5538,55,85,64375
"D1201",City of Monterey Park,1402,2252,58,93,62262
"D1201",City of Norwalk,5258,4886,96,89,107622
"D1201",City of Palmdale,8039,5057,85,53,158968
"D1201",City of Palos Verdes Estates,143,1058,2,15,13522
"D1201",City of Paramount,3495,6239,32,57,56023
"D1201",City of Pico Rivera,3777,5875,87,135,64284
"D1201",City of Pomona,8858,5681,155,99,155931
"D1201",City of Rancho Palos Verdes,438,1025,12,28,42747
"D1201",City of Redondo Beach,957,1393,13,19,68697
"D1201",City of Rolling Hills,16,825,0,0,1940
"D1201",City of Rolling Hills Estates,69,850,3,37,8113
"D1201",City of Rosemead,1434,2591,33,60,55350
"D1201",City of San Dimas,982,2845,14,41,34516
"D1201",City of San Fernando,1714,6964,23,93,24612
"D1201",City of San Gabriel,1074,2622,94,230,40954
"D1201",City of San Marino,129,972,3,23,13277
"D1201",City of Santa Clarita,6509,2953,68,31,220424
"D1201",City of Santa Fe Springs,866,4716,10,54,18364
"D1201",City of Santa Monica,1537,1663,45,49,92446
"D1201",City of Sierra Madre,135,1229,4,36,10989
"D1201",City of Signal Hill,406,3442,4,34,11797
"D1201",City of South El Monte,1253,6000,17,81,20885
"D1201",City of South Gate,6480,6602,82,84,98155
"D1201",City of South Pasadena,419,1608,26,100,26053
"D1201",City of Temple City,777,2131,46,126,36455
"D1201",City of Torrance,2135,1430,77,52,149268
"D1201",City of Vernon,22,10526,0,0,209
"D1201",City of Walnut,533,1746,5,16,30532
"D1201",City of West Covina,4414,4078,75,69,108235
"D1201",City of West Hollywood,955,2585,9,24,36951
"D1201",City of Westlake Village,56,670,0,0,8360
"D1201",City of Whittier,3769,4311,60,69,87432
"D1201",Los Angeles,169263,4185,3246,80
"D1201",Los Angeles - Adams-Normandie,403,4913,5,61,8202
"D1201",Los Angeles - Alsace,550,4419,3,24,12445
"D1201",Los Angeles - Angeles National Forest,2,5000,0,0,40
"D1201",Los Angeles - Angelino Heights,97,3877,1,40,2502
"D1201",Los Angeles - Arleta,2435,7085,29,84,34370
"D1201",Los Angeles - Atwater Village,422,2877,8,55,14666
"D1201",Los Angeles - Baldwin Hills,897,2882,29,93,31125
"D1201",Los Angeles - Bel Air,133,1578,0,0,8429
"D1201",Los Angeles - Beverly Crest,218,1741,2,16,12525
"D1201",Los Angeles - Beverlywood,260,1974,0,0,13173
"D1201",Los Angeles - Boyle Heights,6216,7154,84,97,86884
"D1201",Los Angeles - Brentwood,539,1741,6,19,30955
"D1201",Los Angeles - Brookside,6,1033,0,0,581
"D1201",Los Angeles - Cadillac-Corning,204,2865,1,14,7121
"D1201",Los Angeles - Canoga Park,3208,4914,68,104,65289
"D1201",Los Angeles - Carthay,358,2493,17,118,14363
"D1201",Los Angeles - Central,2946,7555,47,121,38992
"D1201",Los Angeles - Century City,209,1634,0,0,12792
"D1201",Los Angeles - Century Palms/Cove,2136,6326,23,68,33766
"D1201",Los Angeles - Chatsworth,1213,3273,37,100,37061
"D1201",Los Angeles - Cheviot Hills,145,1581,3,33,9171
"D1201",Los Angeles - Chinatown,240,2992,4,50,8021
"D1201",Los Angeles - Cloverdale/Cochran,474,3257,5,34,14553
"D1201",Los Angeles - Country Club Park,533,3517,37,244,15153
"D1201",Los Angeles - Crenshaw District,482,3485,5,36,13829
"D1201",Los Angeles - Crestview,292,2569,22,194,11368
"D1201",Los Angeles - Del Rey,623,2081,9,30,29936
"D1201",Los Angeles - Downtown,1359,4941,17,62,27507
"D1201",Los Angeles - Eagle Rock,1105,2791,28,71,39589
"D1201",Los Angeles - East Hollywood,992,3387,47,160,29287
